Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.817	4,7	1.421,9	12.250	5,1	1.421,9	11.320	4,3	1.391,6
10-19	48.798	9,6	2.858,4	24.264	10,1	2.748,9	24.227	9,2	2.938,4
20-29	87.142	17,2	3.983,1	42.034	17,5	3.699,0	44.664	16,9	4.247,9
30-39	74.777	14,8	3.331,9	37.224	15,5	3.284,1	37.200	14,1	3.348,9
40-49	73.014	14,4	3.351,0	33.975	14,2	3.150,2	38.723	14,7	3.519,1
50-59	83.467	16,5	2.844,2	40.838	17,0	2.785,3	42.304	16,1	2.881,0
60-69	43.830	8,7	1.964,3	21.992	9,2	2.044,3	21.670	8,2	1.875,3
70-79	26.986	5,3	1.717,3	12.786	5,3	1.795,3	14.052	5,3	1.635,4
80-89	31.871	6,3	3.071,7	11.599	4,8	2.821,8	20.053	7,6	3.200,8
90+	11.821	2,3	6.598,3	2.674	1,1	5.548,3	9.013	3,4	6.882,5
Gesamt (inkl. unbekannt)	506.488	100,0	2.822,1	239.969	100,0	2.725,1	263.566	100,0	2.883,3
Anteil Männer/Frauen (%)				47,4			52,0		
