Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.839	4,8	1.542,7	13.311	5,2	1.545,1	12.266	4,4	1.507,9
10-19	51.626	9,6	3.024,0	25.714	10,1	2.913,1	25.594	9,2	3.104,2
20-29	92.450	17,2	4.225,7	44.630	17,4	3.927,4	47.382	17,0	4.506,5
30-39	79.525	14,8	3.543,5	39.669	15,5	3.499,9	39.512	14,1	3.557,0
40-49	77.714	14,4	3.566,7	36.290	14,2	3.364,9	41.089	14,7	3.734,1
50-59	88.646	16,5	3.020,7	43.543	17,0	2.969,8	44.764	16,0	3.048,5
60-69	46.797	8,7	2.097,3	23.505	9,2	2.184,9	23.125	8,3	2.001,2
70-79	28.827	5,4	1.834,4	13.701	5,4	1.923,8	14.990	5,4	1.744,5
80-89	33.668	6,3	3.244,9	12.345	4,8	3.003,2	21.120	7,6	3.371,1
90+	12.255	2,3	6.840,6	2.817	1,1	5.845,0	9.313	3,3	7.111,5
Gesamt (inkl. unbekannt)	538.204	100,0	2.998,8	255.814	100,0	2.905,0	279.454	100,0	3.057,1
Anteil Männer/Frauen (%)				47,5			51,9		
