Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	-	-	-	-	-	-	-	-	-
20-29	2	0,4	0,0	2	0,7	0,1	-	-	-
30-39	1	0,2	0,0	1	0,3	0,0	-	-	-
40-49	6	1,2	0,1	4	1,3	0,2	2	0,9	0,1
50-59	20	3,9	0,4	17	5,7	0,7	3	1,4	0,1
60-69	41	8,0	1,7	28	9,4	2,2	13	6,1	1,1
70-79	94	18,4	5,6	72	24,2	8,9	22	10,3	2,5
80-89	224	43,9	13,2	129	43,4	19,2	95	44,6	9,3
90+	122	23,9	19,9	44	14,8	29,3	78	36,6	16,9
Gesamt (inkl. unbekannt)	510	100,0	1,5	297	100,0	1,9	213	100,0	1,2
Anteil Männer/Frauen (%)				58,2			41,8		
