Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	1	0,0	0,0	3	0,1	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	15	0,3	0,0	6	0,1	0,0
40-49	77	0,7	0,1	52	0,9	0,2	25	0,5	0,1
50-59	375	3,4	0,5	267	4,7	0,7	107	2,0	0,3
60-69	916	8,4	2,2	628	11,2	3,0	285	5,4	1,4
70-79	2.168	19,8	8,4	1.373	24,4	11,2	789	14,9	5,9
80-89	4.960	45,2	16,3	2.482	44,1	22,5	2.462	46,5	12,9
90+	2.425	22,1	21,5	803	14,3	31,7	1.611	30,4	18,7
Gesamt (inkl. unbekannt)	10.965	100,0	2,2	5.629	100,0	2,4	5.298	100,0	2,1
Anteil Männer/Frauen (%)				51,3			48,3		
