Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	28.037	5,0	1.673,9	14.429	5,4	1.674,9	13.313	4,6	1.636,6
10-19	54.029	9,6	3.164,8	26.971	10,1	3.055,5	26.707	9,2	3.239,2
20-29	96.396	17,2	4.406,1	46.580	17,4	4.099,0	49.357	17,0	4.694,3
30-39	83.144	14,8	3.704,7	41.556	15,5	3.666,3	41.218	14,2	3.710,6
40-49	81.015	14,4	3.718,2	37.940	14,2	3.517,9	42.724	14,7	3.882,7
50-59	92.196	16,4	3.141,7	45.388	17,0	3.095,6	46.455	16,0	3.163,6
60-69	48.657	8,7	2.180,6	24.479	9,2	2.275,5	24.007	8,3	2.077,5
70-79	29.804	5,3	1.896,6	14.177	5,3	1.990,6	15.488	5,3	1.802,5
80-89	34.426	6,1	3.318,0	12.657	4,7	3.079,2	21.563	7,4	3.441,8
90+	12.440	2,2	6.943,9	2.879	1,1	5.973,6	9.436	3,2	7.205,5
Gesamt (inkl. unbekannt)	560.989	100,0	3.125,8	267.326	100,0	3.035,7	290.543	100,0	3.178,4
Anteil Männer/Frauen (%)				47,7			51,8		
