Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	1	0,0	0,0	3	0,1	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	22	0,2	0,0	15	0,3	0,0	7	0,1	0,0
40-49	77	0,7	0,1	53	1,0	0,2	24	0,5	0,1
50-59	360	3,3	0,4	261	4,7	0,7	99	1,9	0,2
60-69	900	8,3	2,1	615	11,1	2,9	282	5,4	1,4
70-79	2.143	19,8	8,3	1.359	24,5	11,1	779	14,9	5,8
80-89	4.907	45,3	16,2	2.453	44,1	22,4	2.438	46,6	12,8
90+	2.389	22,1	21,2	793	14,3	31,4	1.585	30,3	18,4
Gesamt (inkl. unbekannt)	10.821	100,0	2,2	5.558	100,0	2,4	5.227	100,0	2,1
Anteil Männer/Frauen (%)				51,4			48,3		
