Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	1.384	4,1	1.348,8	739	4,5	1.404,7	642	3,7	1.284,0
10-19	2.775	8,2	2.988,8	1.427	8,7	2.985,9	1.341	7,7	2.976,3
20-29	6.758	20,0	4.077,6	3.179	19,5	4.009,4	3.576	20,4	4.136,7
30-39	5.935	17,5	3.408,9	2.906	17,8	3.376,3	3.020	17,3	3.430,6
40-49	5.198	15,4	3.565,0	2.470	15,1	3.381,9	2.721	15,6	3.739,2
50-59	5.200	15,4	3.281,7	2.652	16,2	3.294,4	2.544	14,5	3.263,4
60-69	2.502	7,4	2.331,3	1.274	7,8	2.504,4	1.223	7,0	2.166,4
70-79	1.728	5,1	2.094,0	831	5,1	2.232,5	895	5,1	1.975,8
80-89	1.733	5,1	3.439,8	685	4,2	3.299,9	1.048	6,0	3.537,8
90+	619	1,8	7.651,4	153	0,9	6.569,3	466	2,7	8.088,9
Gesamt (inkl. unbekannt)	33.862	100,0	3.112,7	16.328	100,0	3.078,0	17.489	100,0	3.137,7
Anteil Männer/Frauen (%)				48,2			51,6		
