Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	16	0,3	0,0	5	0,1	0,0
40-49	83	0,7	0,1	57	0,9	0,2	26	0,5	0,1
50-59	410	3,4	0,5	290	4,7	0,7	119	2,1	0,3
60-69	992	8,3	2,3	687	11,2	3,1	302	5,2	1,4
70-79	2.372	19,8	8,8	1.496	24,3	11,7	869	15,1	6,2
80-89	5.404	45,2	17,0	2.715	44,1	23,4	2.669	46,3	13,3
90+	2.657	22,2	22,5	883	14,4	33,0	1.760	30,5	19,5
Gesamt (inkl. unbekannt)	11.961	100,0	2,4	6.153	100,0	2,6	5.762	100,0	2,2
Anteil Männer/Frauen (%)				51,4			48,2		
