Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	31.426	5,3	1.876,2	16.168	5,7	1.876,7	14.895	4,9	1.831,1
10-19	58.050	9,8	3.400,3	29.066	10,2	3.292,9	28.597	9,3	3.468,4
20-29	101.771	17,1	4.651,8	49.315	17,4	4.339,7	51.974	17,0	4.943,2
30-39	88.513	14,9	3.944,0	44.332	15,6	3.911,3	43.783	14,3	3.941,5
40-49	85.856	14,5	3.940,4	40.366	14,2	3.742,8	45.109	14,7	4.099,4
50-59	97.140	16,4	3.310,1	48.023	16,9	3.275,3	48.749	15,9	3.319,9
60-69	51.321	8,6	2.300,0	25.847	9,1	2.402,6	25.295	8,3	2.189,0
70-79	31.072	5,2	1.977,3	14.776	5,2	2.074,7	16.158	5,3	1.880,5
80-89	35.274	5,9	3.399,7	12.985	4,6	3.158,9	22.081	7,2	3.524,5
90+	12.634	2,1	7.052,2	2.938	1,0	6.096,1	9.570	3,1	7.307,8
Gesamt (inkl. unbekannt)	593.812	100,0	3.308,7	284.073	100,0	3.225,9	306.462	100,0	3.352,5
Anteil Männer/Frauen (%)				47,8			51,6	
