Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	20	0,2	0,0	15	0,3	0,0	5	0,1	0,0
40-49	78	0,7	0,1	53	0,9	0,2	25	0,4	0,1
50-59	397	3,4	0,5	281	4,7	0,7	115	2,1	0,3
60-69	966	8,4	2,2	667	11,2	3,1	296	5,3	1,4
70-79	2.292	19,8	8,6	1.450	24,4	11,5	835	14,9	6,0
80-89	5.217	45,1	16,6	2.610	44,0	22,9	2.588	46,3	13,1
90+	2.571	22,2	22,1	849	14,3	32,4	1.711	30,6	19,2
Gesamt (inkl. unbekannt)	11.563	100,0	2,3	5.934	100,0	2,5	5.587	100,0	2,1
Anteil Männer/Frauen (%)				51,3			48,3		
