Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.005	4,7	1.433,2	12.346	5,1	1.433,1	11.407	4,3	1.402,3
10-19	49.065	9,6	2.874,0	24.387	10,1	2.762,8	24.366	9,2	2.955,3
20-29	87.621	17,2	4.005,0	42.242	17,5	3.717,3	44.936	16,9	4.273,8
30-39	75.212	14,8	3.351,3	37.424	15,5	3.301,8	37.434	14,1	3.370,0
40-49	73.466	14,4	3.371,7	34.193	14,2	3.170,4	38.953	14,7	3.540,0
50-59	83.918	16,5	2.859,6	41.064	17,0	2.800,7	42.523	16,0	2.895,9
60-69	44.112	8,7	1.976,9	22.131	9,2	2.057,2	21.812	8,2	1.887,6
70-79	27.168	5,3	1.728,8	12.868	5,3	1.806,8	14.151	5,3	1.646,9
80-89	32.082	6,3	3.092,1	11.671	4,8	2.839,3	20.191	7,6	3.222,8
90+	11.871	2,3	6.626,3	2.685	1,1	5.571,1	9.049	3,4	6.910,0
Gesamt (inkl. unbekannt)	509.480	100,0	2.838,8	241.339	100,0	2.740,6	265.160	100,0	2.900,7
Anteil Männer/Frauen (%)				47,4			52,0		
