Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	27.548	5,0	1.644,7	14.168	5,3	1.644,6	13.092	4,5	1.609,4
10-19	53.508	9,6	3.134,3	26.702	10,1	3.025,1	26.456	9,2	3.208,7
20-29	95.620	17,2	4.370,6	46.196	17,4	4.065,2	48.976	17,0	4.658,1
30-39	82.366	14,8	3.670,1	41.147	15,5	3.630,3	40.856	14,2	3.678,0
40-49	80.339	14,4	3.687,2	37.594	14,2	3.485,8	42.396	14,7	3.852,9
50-59	91.450	16,4	3.116,2	44.995	17,0	3.068,8	46.107	16,0	3.139,9
60-69	48.283	8,7	2.163,8	24.288	9,2	2.257,7	23.827	8,3	2.061,9
70-79	29.602	5,3	1.883,7	14.083	5,3	1.977,4	15.382	5,3	1.790,2
80-89	34.280	6,2	3.303,9	12.591	4,8	3.063,1	21.482	7,5	3.428,8
90+	12.404	2,2	6.923,8	2.869	1,1	5.952,9	9.413	3,3	7.187,9
Gesamt (inkl. unbekannt)	556.293	100,0	3.099,6	264.921	100,0	3.008,4	288.279	100,0	3.153,6
Anteil Männer/Frauen (%)				47,6			51,8		
