Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	1	0,0	0,0	1	0,0	0,0
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	16	0,3	0,0	5	0,1	0,0
40-49	83	0,7	0,1	57	0,9	0,2	26	0,5	0,1
50-59	407	3,4	0,5	287	4,7	0,7	119	2,1	0,3
60-69	986	8,3	2,3	682	11,2	3,1	301	5,2	1,4
70-79	2.356	19,8	8,8	1.486	24,3	11,7	863	15,0	6,2
80-89	5.369	45,1	16,9	2.694	44,1	23,4	2.655	46,3	13,3
90+	2.647	22,3	22,5	878	14,4	33,0	1.755	30,6	19,6
Gesamt (inkl. unbekannt)	11.893	100,0	2,4	6.110	100,0	2,6	5.737	100,0	2,2
Anteil Männer/Frauen (%)				51,4			48,2		
