Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.004	4,7	1.492,8	12.857	5,1	1.492,4	11.890	4,3	1.461,7
10-19	50.492	9,6	2.957,6	25.141	10,1	2.848,2	25.043	9,1	3.037,4
20-29	90.501	17,2	4.136,6	43.666	17,5	3.842,6	46.407	17,0	4.413,7
30-39	77.787	14,8	3.466,1	38.784	15,5	3.421,8	38.658	14,1	3.480,2
40-49	75.959	14,4	3.486,2	35.429	14,2	3.285,0	40.210	14,7	3.654,2
50-59	86.806	16,5	2.958,0	42.569	17,0	2.903,3	43.907	16,0	2.990,1
60-69	45.766	8,7	2.051,0	22.985	9,2	2.136,6	22.620	8,3	1.957,5
70-79	28.243	5,4	1.797,3	13.413	5,4	1.883,3	14.689	5,4	1.709,5
80-89	33.126	6,3	3.192,7	12.098	4,8	2.943,2	20.819	7,6	3.323,0
90+	12.130	2,3	6.770,8	2.773	1,1	5.753,7	9.229	3,4	7.047,4
Gesamt (inkl. unbekannt)	526.684	100,0	2.934,6	250.018	100,0	2.839,2	273.775	100,0	2.994,9
Anteil Männer/Frauen (%)				47,5			52,0		
