Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	88	0,7	0,1	62	0,9	0,2	26	0,4	0,1
50-59	448	3,5	0,5	317	4,8	0,7	130	2,1	0,3
60-69	1.062	8,2	2,3	739	11,1	3,2	319	5,2	1,4
70-79	2.569	20,0	9,1	1.620	24,4	12,1	942	15,2	6,4
80-89	5.820	45,2	17,6	2.909	43,8	24,0	2.888	46,7	13,9
90+	2.850	22,1	23,5	967	14,6	34,9	1.867	30,2	20,2
Gesamt (inkl. unbekannt)	12.875	100,0	2,4	6.639	100,0	2,7	6.185	100,0	2,3
Anteil Männer/Frauen (%)				51,6			48,0		
