Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.298	4,7	1.450,7	12.482	5,1	1.448,9	11.567	4,3	1.422,0
10-19	49.482	9,6	2.898,4	24.607	10,1	2.787,7	24.573	9,2	2.980,4
20-29	88.522	17,2	4.046,2	42.685	17,5	3.756,2	45.409	16,9	4.318,8
30-39	76.018	14,8	3.387,2	37.855	15,5	3.339,8	37.819	14,1	3.404,6
40-49	74.249	14,4	3.407,7	34.580	14,2	3.206,3	39.359	14,7	3.576,9
50-59	84.815	16,5	2.890,2	41.556	17,0	2.834,2	42.936	16,0	2.924,0
60-69	44.649	8,7	2.001,0	22.424	9,2	2.084,4	22.067	8,2	1.909,6
70-79	27.518	5,3	1.751,1	13.044	5,3	1.831,5	14.336	5,4	1.668,4
80-89	32.511	6,3	3.133,4	11.839	4,9	2.880,2	20.461	7,6	3.265,9
90+	11.973	2,3	6.683,2	2.726	1,1	5.656,2	9.115	3,4	6.960,4
Gesamt (inkl. unbekannt)	514.917	100,0	2.869,1	244.103	100,0	2.772,0	267.956	100,0	2.931,3
Anteil Männer/Frauen (%)				47,4			52,0		
