Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	11	0,1	0,0	7	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	86	0,7	0,1	60	0,9	0,2	26	0,4	0,1
50-59	437	3,5	0,5	312	4,8	0,7	124	2,0	0,3
60-69	1.049	8,3	2,3	729	11,2	3,2	316	5,2	1,4
70-79	2.525	20,0	9,0	1.594	24,5	12,0	924	15,2	6,4
80-89	5.708	45,2	17,4	2.851	43,7	23,8	2.834	46,7	13,7
90+	2.790	22,1	23,1	947	14,5	34,4	1.827	30,1	19,9
Gesamt (inkl. unbekannt)	12.634	100,0	2,4	6.519	100,0	2,6	6.064	100,0	2,2
Anteil Männer/Frauen (%)				51,6			48,0		
