Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	27	0,2	0,0	18	0,3	0,0	9	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	473	3,4	0,5	335	4,7	0,7	137	2,1	0,3
60-69	1.161	8,4	2,4	804	11,3	3,3	353	5,4	1,5
70-79	2.793	20,3	9,3	1.772	24,8	12,4	1.014	15,5	6,5
80-89	6.201	45,1	18,0	3.132	43,8	24,7	3.044	46,4	14,1
90+	2.999	21,8	24,1	1.013	14,2	35,1	1.970	30,0	20,8
Gesamt (inkl. unbekannt)	13.761	100,0	2,4	7.146	100,0	2,7	6.562	100,0	2,2
Anteil Männer/Frauen (%)				51,9			47,7		
