Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.450	4,8	1.519,4	13.100	5,2	1.520,6	12.093	4,4	1.486,6
10-19	51.152	9,6	2.996,3	25.471	10,1	2.885,6	25.363	9,2	3.076,2
20-29	91.608	17,2	4.187,2	44.202	17,5	3.889,7	46.968	17,0	4.467,1
30-39	78.704	14,8	3.506,9	39.252	15,5	3.463,1	39.108	14,1	3.520,7
40-49	76.957	14,4	3.532,0	35.914	14,2	3.330,0	40.714	14,7	3.700,0
50-59	87.816	16,5	2.992,4	43.112	17,0	2.940,4	44.370	16,0	3.021,6
60-69	46.354	8,7	2.077,4	23.292	9,2	2.165,1	22.897	8,3	1.981,5
70-79	28.570	5,4	1.818,1	13.569	5,4	1.905,2	14.865	5,4	1.730,0
80-89	33.431	6,3	3.222,1	12.232	4,8	2.975,8	20.994	7,6	3.350,9
90+	12.221	2,3	6.821,6	2.806	1,1	5.822,2	9.290	3,4	7.094,0
Gesamt (inkl. unbekannt)	533.136	100,0	2.970,6	253.254	100,0	2.875,9	276.968	100,0	3.029,9
Anteil Männer/Frauen (%)				47,5			52,0	
