Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	20	0,2	0,0	15	0,3	0,0	5	0,1	0,0
40-49	76	0,7	0,1	52	0,9	0,2	24	0,4	0,1
50-59	392	3,4	0,5	278	4,8	0,7	113	2,1	0,3
60-69	947	8,3	2,2	652	11,2	3,0	292	5,3	1,4
70-79	2.260	19,9	8,6	1.432	24,5	11,5	821	14,9	6,0
80-89	5.137	45,1	16,6	2.567	44,0	22,8	2.552	46,4	13,1
90+	2.529	22,2	21,9	835	14,3	32,2	1.683	30,6	19,1
Gesamt (inkl. unbekannt)	11.383	100,0	2,3	5.840	100,0	2,5	5.502	100,0	2,1
Anteil Männer/Frauen (%)				51,3			48,3	
