Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	28	0,2	0,0	19	0,3	0,0	9	0,1	0,0
40-49	95	0,7	0,1	65	0,9	0,2	30	0,4	0,1
50-59	482	3,4	0,5	341	4,7	0,7	140	2,1	0,3
60-69	1.188	8,5	2,3	823	11,3	3,2	361	5,4	1,4
70-79	2.845	20,3	9,3	1.806	24,8	12,4	1.032	15,5	6,5
80-89	6.296	45,0	18,0	3.179	43,7	24,7	3.091	46,3	14,1
90+	3.045	21,8	24,2	1.028	14,1	35,2	2.001	30,0	21,0
Gesamt (inkl. unbekannt)	13.994	100,0	2,4	7.270	100,0	2,6	6.670	100,0	2,2
Anteil Männer/Frauen (%)				52,0			47,7		
