Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	24	0,2	0,0	16	0,2	0,0	8	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	465	3,4	0,5	330	4,7	0,7	134	2,1	0,3
60-69	1.122	8,3	2,4	784	11,2	3,3	334	5,2	1,4
70-79	2.719	20,2	9,3	1.716	24,6	12,3	996	15,4	6,6
80-89	6.086	45,1	17,9	3.064	43,9	24,5	2.998	46,5	14,1
90+	2.962	22,0	24,0	998	14,3	35,1	1.948	30,2	20,8
Gesamt (inkl. unbekannt)	13.486	100,0	2,5	6.981	100,0	2,7	6.453	100,0	2,3
Anteil Männer/Frauen (%)				51,8			47,8		
