Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.438	4,7	1.399,3	12.048	5,1	1.398,5	11.148	4,3	1.370,5
10-19	48.254	9,7	2.826,5	23.977	10,1	2.716,4	23.975	9,2	2.907,8
20-29	85.991	17,2	3.930,5	41.505	17,5	3.652,4	44.043	16,9	4.188,9
30-39	73.727	14,8	3.285,1	36.694	15,5	3.237,4	36.696	14,1	3.303,5
40-49	72.069	14,4	3.307,6	33.531	14,2	3.109,0	38.231	14,7	3.474,3
50-59	82.348	16,5	2.806,1	40.277	17,0	2.747,0	41.752	16,1	2.843,4
60-69	43.141	8,6	1.933,4	21.622	9,1	2.009,9	21.355	8,2	1.848,0
70-79	26.515	5,3	1.687,3	12.583	5,3	1.766,8	13.786	5,3	1.604,4
80-89	31.309	6,3	3.017,5	11.360	4,8	2.763,6	19.728	7,6	3.148,9
90+	11.637	2,3	6.495,6	2.619	1,1	5.434,2	8.888	3,4	6.787,0
Gesamt (inkl. unbekannt)	499.410	100,0	2.782,7	236.559	100,0	2.686,3	259.957	100,0	2.843,8
Anteil Männer/Frauen (%)				47,4			52,1		
