Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	29.672	5,1	1.771,5	15.244	5,5	1.769,5	14.099	4,7	1.733,2
10-19	55.941	9,7	3.276,8	27.960	10,1	3.167,6	27.620	9,2	3.349,9
20-29	99.201	17,2	4.534,3	47.991	17,4	4.223,2	50.742	17,0	4.826,0
30-39	85.925	14,9	3.828,7	42.982	15,6	3.792,2	42.562	14,2	3.831,6
40-49	83.479	14,5	3.831,3	39.167	14,2	3.631,6	43.956	14,7	3.994,6
50-59	94.681	16,4	3.226,3	46.702	16,9	3.185,2	47.619	15,9	3.242,9
60-69	50.040	8,7	2.242,6	25.180	9,1	2.340,6	24.688	8,3	2.136,5
70-79	30.443	5,3	1.937,2	14.481	5,3	2.033,3	15.823	5,3	1.841,5
80-89	34.827	6,0	3.356,6	12.811	4,6	3.116,6	21.810	7,3	3.481,2
90+	12.544	2,2	7.001,9	2.903	1,1	6.023,4	9.516	3,2	7.266,6
Gesamt (inkl. unbekannt)	577.474	100,0	3.217,6	275.673	100,0	3.130,5	298.685	100,0	3.267,4
Anteil Männer/Frauen (%)				47,7			51,7		
