Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	89	0,7	0,1	62	0,9	0,2	27	0,4	0,1
50-59	449	3,5	0,5	318	4,8	0,7	130	2,1	0,3
60-69	1.074	8,3	2,3	749	11,2	3,2	321	5,2	1,4
70-79	2.587	20,0	9,1	1.626	24,3	12,1	954	15,3	6,5
80-89	5.856	45,2	17,6	2.935	43,9	24,2	2.898	46,6	13,9
90+	2.865	22,1	23,5	970	14,5	34,8	1.879	30,2	20,3
Gesamt (inkl. unbekannt)	12.958	100,0	2,5	6.685	100,0	2,7	6.222	100,0	2,3
Anteil Männer/Frauen (%)				51,6			48,0		
