Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.378	4,8	1.515,1	13.063	5,2	1.516,3	12.058	4,4	1.482,3
10-19	51.057	9,6	2.990,7	25.431	10,1	2.881,1	25.309	9,2	3.069,6
20-29	91.470	17,2	4.180,9	44.141	17,5	3.884,4	46.893	17,0	4.459,9
30-39	78.586	14,8	3.501,7	39.196	15,5	3.458,1	39.048	14,1	3.515,3
40-49	76.847	14,4	3.526,9	35.850	14,2	3.324,1	40.669	14,7	3.695,9
50-59	87.704	16,5	2.988,6	43.049	17,0	2.936,1	44.321	16,0	3.018,3
60-69	46.288	8,7	2.074,4	23.258	9,2	2.162,0	22.864	8,3	1.978,6
70-79	28.527	5,4	1.815,3	13.544	5,4	1.901,7	14.846	5,4	1.727,8
80-89	33.395	6,3	3.218,6	12.220	4,8	2.972,8	20.970	7,6	3.347,1
90+	12.213	2,3	6.817,2	2.801	1,1	5.811,8	9.287	3,4	7.091,7
Gesamt (inkl. unbekannt)	532.332	100,0	2.966,1	252.856	100,0	2.871,4	276.567	100,0	3.025,5
Anteil Männer/Frauen (%)				47,5			52,0		
