Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	28	0,2	0,0	19	0,3	0,0	9	0,1	0,0
40-49	93	0,7	0,1	64	0,9	0,2	29	0,4	0,1
50-59	481	3,4	0,5	340	4,7	0,7	140	2,1	0,3
60-69	1.181	8,5	2,3	817	11,3	3,2	360	5,4	1,5
70-79	2.839	20,3	9,3	1.802	24,9	12,4	1.030	15,5	6,5
80-89	6.284	45,0	18,0	3.173	43,8	24,7	3.085	46,4	14,1
90+	3.039	21,8	24,2	1.027	14,2	35,3	1.996	30,0	20,9
Gesamt (inkl. unbekannt)	13.960	100,0	2,4	7.251	100,0	2,6	6.655	100,0	2,2
Anteil Männer/Frauen (%)				51,9			47,7		
