Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.730	4,7	1.476,5	12.714	5,1	1.475,8	11.760	4,3	1.445,7
10-19	50.118	9,6	2.935,7	24.952	10,1	2.826,8	24.858	9,2	3.014,9
20-29	89.765	17,2	4.103,0	43.300	17,5	3.810,4	46.035	17,0	4.378,3
30-39	77.041	14,8	3.432,8	38.390	15,5	3.387,0	38.306	14,1	3.448,5
40-49	75.268	14,4	3.454,4	35.073	14,2	3.252,0	39.877	14,7	3.623,9
50-59	86.043	16,5	2.932,0	42.185	17,0	2.877,1	43.527	16,0	2.964,2
60-69	45.330	8,7	2.031,5	22.778	9,2	2.117,3	22.390	8,2	1.937,6
70-79	27.977	5,4	1.780,3	13.275	5,4	1.863,9	14.562	5,4	1.694,7
80-89	32.913	6,3	3.172,1	12.014	4,8	2.922,7	20.685	7,6	3.301,6
90+	12.088	2,3	6.747,4	2.760	1,1	5.726,7	9.198	3,4	7.023,7
Gesamt (inkl. unbekannt)	522.179	100,0	2.909,5	247.747	100,0	2.813,4	271.510	100,0	2.970,2
Anteil Männer/Frauen (%)				47,4			52,0		
