Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	88	0,7	0,1	62	0,9	0,2	26	0,4	0,1
50-59	445	3,5	0,5	316	4,8	0,7	128	2,1	0,3
60-69	1.059	8,3	2,3	737	11,2	3,2	318	5,2	1,4
70-79	2.554	20,0	9,1	1.610	24,4	12,1	937	15,2	6,4
80-89	5.782	45,2	17,5	2.889	43,8	24,0	2.870	46,7	13,8
90+	2.834	22,1	23,4	958	14,5	34,6	1.860	30,2	20,2
Gesamt (inkl. unbekannt)	12.800	100,0	2,4	6.597	100,0	2,7	6.152	100,0	2,3
Anteil Männer/Frauen (%)				51,5			48,1		
