Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.321	4,7	1.392,3	11.997	5,1	1.392,6	11.083	4,3	1.362,5
10-19	48.113	9,7	2.818,3	23.915	10,1	2.709,3	23.896	9,2	2.898,3
20-29	85.719	17,2	3.918,0	41.376	17,6	3.641,1	43.904	17,0	4.175,7
30-39	73.442	14,8	3.272,4	36.558	15,5	3.225,4	36.548	14,1	3.290,2
40-49	71.835	14,4	3.296,9	33.420	14,2	3.098,8	38.110	14,7	3.463,4
50-59	82.047	16,5	2.795,8	40.131	17,0	2.737,0	41.599	16,1	2.832,9
60-69	42.954	8,6	1.925,0	21.526	9,1	2.001,0	21.267	8,2	1.840,4
70-79	26.411	5,3	1.680,7	12.535	5,3	1.760,0	13.731	5,3	1.598,0
80-89	31.197	6,3	3.006,8	11.324	4,8	2.754,9	19.651	7,6	3.136,6
90+	11.606	2,3	6.478,3	2.611	1,1	5.417,6	8.865	3,4	6.769,4
Gesamt (inkl. unbekannt)	497.622	100,0	2.772,7	235.736	100,0	2.677,0	259.006	100,0	2.833,4
Anteil Männer/Frauen (%)				47,4			52,0		
