Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.534	4,7	1.405,0	12.109	5,1	1.405,6	11.182	4,3	1.374,6
10-19	48.415	9,7	2.835,9	24.064	10,1	2.726,2	24.047	9,2	2.916,6
20-29	86.264	17,2	3.943,0	41.631	17,5	3.663,5	44.187	16,9	4.202,6
30-39	73.969	14,8	3.295,9	36.827	15,5	3.249,1	36.797	14,1	3.312,6
40-49	72.270	14,4	3.316,8	33.636	14,2	3.118,8	38.329	14,7	3.483,3
50-59	82.579	16,5	2.814,0	40.392	17,0	2.754,8	41.864	16,1	2.851,0
60-69	43.300	8,6	1.940,5	21.703	9,1	2.017,4	21.429	8,2	1.854,4
70-79	26.640	5,3	1.695,2	12.640	5,3	1.774,8	13.856	5,3	1.612,6
80-89	31.443	6,3	3.030,5	11.425	4,8	2.779,4	19.795	7,6	3.159,6
90+	11.687	2,3	6.523,5	2.636	1,1	5.469,4	8.916	3,4	6.808,4
Gesamt (inkl. unbekannt)	501.087	100,0	2.792,0	237.405	100,0	2.696,0	260.755	100,0	2.852,5
Anteil Männer/Frauen (%)				47,4			52,0		
