Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	10	0,1	0,0	7	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	16	0,3	0,0	5	0,1	0,0
40-49	83	0,7	0,1	57	0,9	0,2	26	0,4	0,1
50-59	416	3,4	0,5	296	4,7	0,7	119	2,0	0,3
60-69	1.006	8,3	2,3	697	11,2	3,1	306	5,2	1,4
70-79	2.404	19,8	8,8	1.513	24,3	11,7	883	15,1	6,2
80-89	5.484	45,3	17,1	2.751	44,1	23,5	2.711	46,5	13,4
90+	2.687	22,2	22,6	900	14,4	33,4	1.773	30,4	19,6
Gesamt (inkl. unbekannt)	12.118	100,0	2,4	6.239	100,0	2,6	5.830	100,0	2,2
Anteil Männer/Frauen (%)				51,5			48,1		
