Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	22.545	4,7	1.346,0	11.601	5,1	1.346,6	10.713	4,3	1.317,0
10-19	46.800	9,7	2.741,3	23.253	10,2	2.634,3	23.274	9,3	2.822,8
20-29	83.176	17,3	3.801,8	40.187	17,6	3.536,4	42.570	17,0	4.048,8
30-39	71.071	14,8	3.166,8	35.427	15,5	3.125,6	35.330	14,1	3.180,6
40-49	69.524	14,5	3.190,8	32.381	14,2	3.002,4	36.863	14,7	3.350,0
50-59	79.341	16,5	2.703,6	38.839	17,0	2.648,9	40.204	16,1	2.737,9
60-69	41.307	8,6	1.851,2	20.696	9,1	1.923,8	20.462	8,2	1.770,7
70-79	25.376	5,3	1.614,8	12.060	5,3	1.693,3	13.181	5,3	1.534,0
80-89	29.804	6,2	2.872,5	10.791	4,7	2.625,2	18.801	7,5	3.000,9
90+	11.067	2,3	6.177,5	2.478	1,1	5.141,6	8.460	3,4	6.460,2
Gesamt (inkl. unbekannt)	481.004	100,0	2.680,1	228.062	100,0	2.589,9	250.226	100,0	2.737,3
Anteil Männer/Frauen (%)				47,4			52,0		
