Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	26.598	4,9	1.588,0	13.700	5,3	1.590,2	12.619	4,5	1.551,3
10-19	52.421	9,6	3.070,6	26.144	10,1	2.961,8	25.943	9,2	3.146,5
20-29	93.800	17,2	4.287,4	45.321	17,5	3.988,2	48.031	17,0	4.568,2
30-39	80.731	14,8	3.597,2	40.277	15,5	3.553,5	40.104	14,2	3.610,3
40-49	78.823	14,4	3.617,6	36.832	14,2	3.415,1	41.648	14,7	3.784,9
50-59	89.765	16,4	3.058,8	44.125	17,0	3.009,4	45.294	16,0	3.084,6
60-69	47.454	8,7	2.126,7	23.844	9,2	2.216,4	23.441	8,3	2.028,5
70-79	29.165	5,3	1.855,9	13.868	5,3	1.947,2	15.161	5,4	1.764,4
80-89	33.945	6,2	3.271,6	12.456	4,8	3.030,3	21.286	7,5	3.397,6
90+	12.323	2,3	6.878,6	2.842	1,1	5.896,9	9.358	3,3	7.145,9
Gesamt (inkl. unbekannt)	545.869	100,0	3.041,5	259.695	100,0	2.949,1	283.180	100,0	3.097,8
Anteil Männer/Frauen (%)				47,6			51,9		
