Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	27.772	5,0	1.658,1	14.288	5,4	1.658,5	13.192	4,6	1.621,7
10-19	53.732	9,6	3.147,4	26.811	10,1	3.037,4	26.570	9,2	3.222,6
20-29	95.998	17,2	4.387,9	46.381	17,4	4.081,5	49.161	17,0	4.675,7
30-39	82.746	14,8	3.687,0	41.347	15,5	3.647,9	41.034	14,2	3.694,1
40-49	80.672	14,4	3.702,5	37.746	14,2	3.499,9	42.574	14,7	3.869,0
50-59	91.821	16,4	3.128,9	45.185	17,0	3.081,7	46.283	16,0	3.151,9
60-69	48.479	8,7	2.172,6	24.384	9,2	2.266,6	23.925	8,3	2.070,4
70-79	29.688	5,3	1.889,2	14.125	5,3	1.983,3	15.426	5,3	1.795,3
80-89	34.332	6,1	3.308,9	12.613	4,7	3.068,4	21.513	7,4	3.433,8
90+	12.420	2,2	6.932,7	2.874	1,1	5.963,3	9.424	3,3	7.196,3
Gesamt (inkl. unbekannt)	558.592	100,0	3.112,4	266.046	100,0	3.021,2	289.396	100,0	3.165,8
Anteil Männer/Frauen (%)				47,6			51,8		
