Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.176	4,7	1.383,7	11.924	5,1	1.384,1	11.014	4,3	1.354,0
10-19	47.919	9,7	2.806,9	23.816	10,1	2.698,1	23.807	9,2	2.887,5
20-29	85.396	17,2	3.903,3	41.224	17,6	3.627,7	43.737	17,0	4.159,8
30-39	73.121	14,8	3.258,1	36.414	15,5	3.212,7	36.375	14,1	3.274,6
40-49	71.534	14,4	3.283,1	33.299	14,2	3.087,5	37.931	14,7	3.447,1
50-59	81.715	16,5	2.784,5	39.971	17,0	2.726,1	41.428	16,1	2.821,3
60-69	42.740	8,6	1.915,4	21.418	9,1	1.990,9	21.164	8,2	1.831,5
70-79	26.286	5,3	1.672,7	12.484	5,3	1.752,9	13.656	5,3	1.589,3
80-89	31.018	6,3	2.989,5	11.262	4,8	2.739,8	19.533	7,6	3.117,8
90+	11.548	2,3	6.446,0	2.594	1,1	5.382,3	8.820	3,4	6.735,1
Gesamt (inkl. unbekannt)	495.432	100,0	2.760,5	234.750	100,0	2.665,8	257.820	100,0	2.820,4
Anteil Männer/Frauen (%)				47,4			52,0	
