Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	1	0,0	0,0	1	0,0	0,0
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	16	0,3	0,0	5	0,1	0,0
40-49	82	0,7	0,1	56	0,9	0,2	26	0,5	0,1
50-59	406	3,4	0,5	286	4,7	0,7	119	2,1	0,3
60-69	980	8,3	2,3	676	11,2	3,1	301	5,3	1,4
70-79	2.336	19,8	8,7	1.476	24,4	11,6	853	15,0	6,1
80-89	5.318	45,1	16,8	2.669	44,0	23,2	2.629	46,2	13,2
90+	2.627	22,3	22,4	872	14,4	33,0	1.741	30,6	19,5
Gesamt (inkl. unbekannt)	11.794	100,0	2,3	6.061	100,0	2,5	5.687	100,0	2,2
Anteil Männer/Frauen (%)				51,4			48,2		
