Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	10	0,1	0,0	7	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	16	0,3	0,0	5	0,1	0,0
40-49	83	0,7	0,1	57	0,9	0,2	26	0,4	0,1
50-59	422	3,5	0,5	300	4,8	0,7	121	2,1	0,3
60-69	1.017	8,3	2,3	707	11,2	3,2	307	5,2	1,4
70-79	2.422	19,8	8,9	1.529	24,3	11,8	886	15,1	6,2
80-89	5.523	45,2	17,1	2.768	43,9	23,6	2.734	46,6	13,5
90+	2.709	22,2	22,8	914	14,5	33,8	1.781	30,4	19,6
Gesamt (inkl. unbekannt)	12.213	100,0	2,4	6.300	100,0	2,6	5.867	100,0	2,2
Anteil Männer/Frauen (%)				51,6			48,0		
