Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.126	4,7	1.440,4	12.404	5,1	1.439,8	11.467	4,3	1.409,7
10-19	49.210	9,6	2.882,5	24.456	10,1	2.770,6	24.438	9,2	2.964,0
20-29	87.911	17,2	4.018,2	42.377	17,5	3.729,1	45.089	16,9	4.288,4
30-39	75.470	14,8	3.362,8	37.571	15,5	3.314,8	37.539	14,1	3.379,4
40-49	73.693	14,4	3.382,2	34.305	14,2	3.180,8	39.065	14,7	3.550,1
50-59	84.176	16,5	2.868,4	41.206	17,0	2.810,4	42.638	16,0	2.903,7
60-69	44.259	8,7	1.983,5	22.208	9,2	2.064,3	21.880	8,2	1.893,5
70-79	27.290	5,3	1.736,6	12.930	5,3	1.815,5	14.210	5,3	1.653,8
80-89	32.227	6,3	3.106,0	11.722	4,8	2.851,7	20.285	7,6	3.237,8
90+	11.907	2,3	6.646,3	2.701	1,1	5.604,3	9.072	3,4	6.927,5
Gesamt (inkl. unbekannt)	511.229	100,0	2.848,5	242.207	100,0	2.750,5	266.017	100,0	2.910,1
Anteil Männer/Frauen (%)				47,4			52,0		
