Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.242	4,8	1.507,0	12.989	5,2	1.507,7	11.999	4,4	1.475,1
10-19	50.886	9,6	2.980,7	25.344	10,1	2.871,2	25.229	9,1	3.059,9
20-29	91.202	17,2	4.168,7	44.004	17,5	3.872,3	46.764	17,0	4.447,7
30-39	78.366	14,8	3.491,8	39.080	15,5	3.447,9	38.944	14,1	3.505,9
40-49	76.578	14,4	3.514,6	35.723	14,2	3.312,3	40.532	14,7	3.683,5
50-59	87.449	16,5	2.979,9	42.912	17,0	2.926,7	44.204	16,0	3.010,3
60-69	46.142	8,7	2.067,9	23.186	9,2	2.155,3	22.791	8,3	1.972,3
70-79	28.450	5,4	1.810,4	13.515	5,4	1.897,6	14.798	5,4	1.722,2
80-89	33.323	6,3	3.211,7	12.186	4,8	2.964,6	20.932	7,6	3.341,1
90+	12.191	2,3	6.804,9	2.795	1,1	5.799,4	9.271	3,4	7.079,5
Gesamt (inkl. unbekannt)	530.692	100,0	2.957,0	252.038	100,0	2.862,1	275.766	100,0	3.016,7
Anteil Männer/Frauen (%)				47,5			52,0		
