Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	22.858	4,7	1.364,7	11.765	5,1	1.365,6	10.859	4,3	1.334,9
10-19	47.353	9,7	2.773,7	23.524	10,2	2.665,0	23.540	9,3	2.855,1
20-29	84.220	17,3	3.849,5	40.669	17,6	3.578,8	43.125	17,0	4.101,6
30-39	72.035	14,8	3.209,8	35.884	15,5	3.165,9	35.831	14,1	3.225,7
40-49	70.470	14,4	3.234,2	32.801	14,2	3.041,4	37.379	14,7	3.396,9
50-59	80.424	16,5	2.740,5	39.349	17,0	2.683,7	40.773	16,1	2.776,7
60-69	41.986	8,6	1.881,6	21.043	9,1	1.956,1	20.788	8,2	1.799,0
70-79	25.828	5,3	1.643,6	12.281	5,3	1.724,4	13.406	5,3	1.560,2
80-89	30.385	6,2	2.928,5	11.017	4,8	2.680,2	19.150	7,5	3.056,6
90+	11.302	2,3	6.308,6	2.534	1,1	5.257,8	8.626	3,4	6.586,9
Gesamt (inkl. unbekannt)	487.849	100,0	2.718,2	231.215	100,0	2.625,7	253.842	100,0	2.776,9
Anteil Männer/Frauen (%)				47,4			52,0		
