Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	1.441	4,2	1.404,4	766	4,6	1.456,1	671	3,8	1.342,0
10-19	2.840	8,2	3.058,8	1.466	8,8	3.067,5	1.367	7,7	3.034,0
20-29	6.900	19,9	4.163,3	3.243	19,4	4.090,2	3.654	20,5	4.227,0
30-39	6.072	17,5	3.487,6	2.979	17,9	3.461,1	3.084	17,3	3.503,3
40-49	5.318	15,4	3.647,3	2.520	15,1	3.450,4	2.791	15,6	3.835,4
50-59	5.300	15,3	3.344,8	2.706	16,2	3.361,5	2.590	14,5	3.322,4
60-69	2.553	7,4	2.378,8	1.299	7,8	2.553,6	1.248	7,0	2.210,7
70-79	1.756	5,1	2.127,9	846	5,1	2.272,8	908	5,1	2.004,5
80-89	1.762	5,1	3.497,4	697	4,2	3.357,7	1.065	6,0	3.595,2
90+	630	1,8	7.787,4	154	0,9	6.612,3	476	2,7	8.262,5
Gesamt (inkl. unbekannt)	34.600	100,0	3.180,5	16.689	100,0	3.146,1	17.866	100,0	3.205,3
Anteil Männer/Frauen (%)				48,2			51,6		
