Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	27	0,2	0,0	18	0,3	0,0	9	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	473	3,4	0,5	335	4,7	0,7	137	2,1	0,3
60-69	1.155	8,4	2,4	802	11,3	3,3	349	5,3	1,5
70-79	2.785	20,3	9,3	1.766	24,8	12,5	1.012	15,5	6,5
80-89	6.180	45,0	18,0	3.120	43,8	24,7	3.035	46,4	14,1
90+	2.995	21,8	24,1	1.010	14,2	35,1	1.969	30,1	20,9
Gesamt (inkl. unbekannt)	13.722	100,0	2,4	7.123	100,0	2,7	6.546	100,0	2,3
Anteil Männer/Frauen (%)				51,9			47,7		
