Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	-	-	-	-	-	-	-	-	-
20-29	2	0,4	0,0	2	0,7	0,1	-	-	-
30-39	1	0,2	0,0	1	0,3	0,0	-	-	-
40-49	6	1,1	0,1	4	1,3	0,2	2	0,9	0,1
50-59	20	3,8	0,4	17	5,5	0,6	3	1,3	0,1
60-69	41	7,7	1,6	28	9,1	2,2	13	5,8	1,1
70-79	98	18,5	5,7	75	24,4	9,0	23	10,3	2,6
80-89	233	44,0	13,4	134	43,6	19,6	99	44,4	9,4
90+	129	24,3	20,8	46	15,0	30,1	83	37,2	17,8
Gesamt (inkl. unbekannt)	530	100,0	1,6	307	100,0	1,9	223	100,0	1,3
Anteil Männer/Frauen (%)				57,9			42,1		
