Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	29.060	5,1	1.735,0	14.954	5,5	1.735,8	13.788	4,7	1.695,0
10-19	55.164	9,7	3.231,3	27.568	10,1	3.123,2	27.239	9,2	3.303,7
20-29	98.156	17,2	4.486,5	47.487	17,4	4.178,8	50.206	17,0	4.775,0
30-39	84.909	14,9	3.783,4	42.466	15,6	3.746,6	42.067	14,2	3.787,1
40-49	82.586	14,5	3.790,3	38.729	14,2	3.591,0	43.504	14,7	3.953,5
50-59	93.861	16,4	3.198,4	46.287	17,0	3.156,9	47.217	16,0	3.215,5
60-69	49.529	8,7	2.219,7	24.912	9,1	2.315,7	24.444	8,3	2.115,3
70-79	30.184	5,3	1.920,8	14.360	5,3	2.016,3	15.686	5,3	1.825,5
80-89	34.679	6,1	3.342,3	12.755	4,7	3.103,0	21.717	7,3	3.466,4
90+	12.513	2,2	6.984,6	2.898	1,1	6.013,1	9.490	3,2	7.246,7
Gesamt (inkl. unbekannt)	571.414	100,0	3.183,9	272.685	100,0	3.096,6	295.637	100,0	3.234,1
Anteil Männer/Frauen (%)				47,7			51,7		
