Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	-	-	-	-	-	-	-	-	-
20-29	2	0,4	0,0	2	0,6	0,1	-	-	-
30-39	2	0,4	0,0	1	0,3	0,0	1	0,4	0,0
40-49	6	1,1	0,1	4	1,3	0,2	2	0,9	0,1
50-59	21	3,8	0,4	18	5,6	0,6	3	1,3	0,1
60-69	44	8,0	1,7	31	9,7	2,3	13	5,6	1,0
70-79	104	18,8	5,7	80	25,0	9,1	24	10,3	2,6
80-89	238	43,1	13,2	136	42,5	19,0	102	44,0	9,4
90+	135	24,5	21,2	48	15,0	30,6	87	37,5	18,2
Gesamt (inkl. unbekannt)	552	100,0	1,5	320	100,0	1,9	232	100,0	1,3
Anteil Männer/Frauen (%)				58,0			42,0		
