Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	27.077	4,9	1.616,6	13.933	5,3	1.617,3	12.861	4,5	1.581,0
10-19	52.963	9,6	3.102,4	26.425	10,1	2.993,7	26.192	9,2	3.176,7
20-29	94.632	17,2	4.325,4	45.717	17,4	4.023,1	48.464	17,0	4.609,4
30-39	81.552	14,8	3.633,8	40.715	15,5	3.592,1	40.481	14,2	3.644,3
40-49	79.588	14,4	3.652,7	37.225	14,2	3.451,6	42.016	14,7	3.818,3
50-59	90.604	16,4	3.087,4	44.569	17,0	3.039,7	45.686	16,0	3.111,3
60-69	47.875	8,7	2.145,6	24.072	9,2	2.237,6	23.636	8,3	2.045,4
70-79	29.366	5,3	1.868,7	13.959	5,3	1.960,0	15.270	5,3	1.777,1
80-89	34.112	6,2	3.287,7	12.530	4,8	3.048,3	21.379	7,5	3.412,4
90+	12.354	2,2	6.895,9	2.853	1,1	5.919,7	9.379	3,3	7.161,9
Gesamt (inkl. unbekannt)	550.992	100,0	3.070,1	262.283	100,0	2.978,5	285.656	100,0	3.124,9
Anteil Männer/Frauen (%)				47,6			51,8		
