Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 37/2021;;;;;;;;
Stand: 22.09.2021 10:22:28;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+;
2020;10;2;3;23;86;37;11;2020-KW10
2020;11;2;2;55;238;154;78;2020-KW11
2020;12;14;6;152;728;861;472;2020-KW12
2020;13;32;16;259;1365;2220;1259;2020-KW13
2020;14;27;17;310;1348;2489;1922;2020-KW14
2020;15;23;9;227;987;1766;1738;2020-KW15
2020;16;9;12;192;636;1282;1256;2020-KW16
2020;17;20;15;184;418;773;835;2020-KW17
2020;18;19;8;109;287;514;429;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;182;232;250;2020-KW20
2020;21;4;2;51;121;170;167;2020-KW21
2020;22;4;;38;123;139;117;2020-KW22
2020;23;3;5;40;94;90;75;2020-KW23
2020;24;11;5;47;83;70;73;2020-KW24
2020;25;5;3;52;121;81;62;2020-KW25
2020;26;3;7;46;104;79;57;2020-KW26
2020;27;3;4;56;93;55;52;2020-KW27
2020;28;7;6;36;97;80;32;2020-KW28
2020;29;9;5;62;107;91;48;2020-KW29
2020;30;10;8;53;112;105;46;2020-KW30
2020;31;2;5;50;148;107;77;2020-KW31
2020;32;4;3;70;148;114;65;2020-KW32
2020;33;11;13;76;152;115;77;2020-KW33
2020;34;9;11;95;171;106;45;2020-KW34
2020;35;6;8;68;150;101;40;2020-KW35
2020;36;4;8;77;146;122;51;2020-KW36
2020;37;12;12;54;163;143;98;2020-KW37
2020;38;8;10;83;238;211;139;2020-KW38
2020;39;9;7;111;243;258;153;2020-KW39
2020;40;15;10;119;282;290;176;2020-KW40
2020;41;21;17;212;497;510;359;2020-KW41
2020;42;24;26;277;682;789;564;2020-KW42
2020;43;51;32;445;1073;1440;1152;2020-KW43
2020;44;63;52;558;1523;2115;1700;2020-KW44
2020;45;65;61;612;1709;2412;2073;2020-KW45
2020;46;65;72;590;1744;2624;2529;2020-KW46
2020;47;55;60;614;1694;2893;2845;2020-KW47
2020;48;63;68;574;1720;2881;3098;2020-KW48
2020;49;60;61;611;1687;3197;3624;2020-KW49
2020;50;70;69;679;1989;3971;4575;2020-KW50
2020;51;76;86;714;2199;4427;5124;2020-KW51
2020;52;52;49;587;1868;3933;4621;2020-KW52
2020;53;73;51;615;1932;3881;4500;2020-KW53
2021;01;68;36;597;1841;4013;4705;2021-KW01
2021;02;60;49;540;1608;3449;4270;2021-KW02
2021;03;41;35;414;1502;3187;3737;2021-KW03
2021;04;35;35;410;1255;2819;3022;2021-KW04
2021;05;45;37;359;1154;2368;2539;2021-KW05
2021;06;42;24;306;987;1969;1907;2021-KW06
2021;07;37;23;312;1066;2017;1704;2021-KW07
2021;08;47;30;328;1117;1823;1508;2021-KW08
2021;09;51;29;351;1065;1676;1267;2021-KW09
2021;10;53;39;414;1368;1745;1294;2021-KW10
2021;11;85;70;492;1646;2174;1320;2021-KW11
2021;12;94;91;628;1997;2531;1540;2021-KW12
2021;13;95;87;626;2052;2644;1425;2021-KW13
2021;14;112;71;745;2379;2844;1440;2021-KW14
2021;15;94;85;768;2383;3046;1456;2021-KW15
2021;16;96;90;801;2567;3026;1428;2021-KW16
2021;17;77;102;655;2180;2558;1175;2021-KW17
2021;18;82;68;566;1743;2085;962;2021-KW18
2021;19;67;44;457;1266;1501;710;2021-KW19
2021;20;49;42;356;861;968;505;2021-KW20
2021;21;27;27;209;561;575;302;2021-KW21
2021;22;13;22;156;395;345;205;2021-KW22
2021;23;19;23;125;277;241;126;2021-KW23
2021;24;16;7;84;199;135;78;2021-KW24
2021;25;12;7;88;114;88;50;2021-KW25
2021;26;6;10;64;108;89;37;2021-KW26
2021;27;6;6;76;128;90;54;2021-KW27
2021;28;11;3;101;156;91;47;2021-KW28
2021;29;15;7;161;208;124;65;2021-KW29
2021;30;20;21;170;288;175;99;2021-KW30
2021;31;22;20;253;367;189;128;2021-KW31
2021;32;56;37;362;639;327;169;2021-KW32
2021;33;72;55;495;891;418;227;2021-KW33
2021;34;83;65;591;1234;573;340;2021-KW34
2021;35;71;63;558;1113;636;422;2021-KW35
2021;36;83;78;483;960;614;452;2021-KW36
2021;37;64;44;320;609;430;362;2021-KW37
