Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.8;5.9;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.0;8.7;--;9.6;2.0;--
2021;32;58.8;7.0;--;68.1;12.8;--;15.4;3.4;--
2021;33;109.5;12.3;--;101.1;17.3;--;20.7;4.2;--
2021;34;139.8;10.2;--;131.3;21.7;--;31.1;6.2;--
2021;35;167.2;11.2;--;135.9;24.0;--;37.6;8.2;--
2021;36;158.0;11.1;--;130.6;25.1;--;42.7;9.4;--
2021;37;150.5;11.0;--;110.8;22.7;--;40.7;9.6;--
2021;38;131.7;8.6;--;94.3;21.6;--;36.3;9.6;--
2021;39;146.4;11.1;--;98.7;26.8;--;38.8;12.9;--
2021;40;147.1;9.3;--;105.5;29.6;--;48.3;15.0;--
2021;41;165.1;12.9;--;119.8;35.8;--;54.3;17.7;--
2021;42;227.3;17.4;--;176.3;56.8;28.5;86.3;31.1;11.4
2021;43;317.0;27.5;--;226.9;76.8;43.2;111.8;46.5;13.5
2021;44;337.5;29.1;--;266.3;94.2;43.6;144.0;58.9;16.6
2021;45;489.4;50.7;--;326.1;119.2;56.6;180.6;75.7;17.7
2021;46;532.0;54.6;--;354.0;141.2;60.9;193.5;86.6;22.0
2021;47;537.7;58.4;--;375.9;140.3;62.6;216.0;87.0;24.6
2021;48;502.9;56.5;20.0;345.3;126.6;48.1;209.0;73.7;20.0
2021;49;451.6;54.3;16.3;299.8;110.1;38.2;193.6;64.1;15.7
2021;50;373.1;49.0;10.9;247.8;94.0;28.7;157.7;49.1;11.0
2021;51;234.4;45.0;9.6;167.3;77.4;27.7;111.7;35.6;9.4
2021;52;210.3;70.0;23.9;171.9;111.4;46.2;109.1;41.8;15.8
2022;1;274.5;150.1;70.4;191.9;182.9;90.5;106.7;54.7;22.3
2022;2;341.7;209.8;95.9;180.3;183.0;93.5;75.5;46.3;22.5
2022;3;435.5;222.5;75.3;219.3;198.5;108.0;80.4;50.4;25.7
2022;4;511.7;235.3;80.4;243.0;194.0;109.9;87.3;49.8;27.3
2022;5;512.6;234.6;75.3;255.7;193.7;112.7;105.4;50.7;29.7
2022;6;454.5;238.9;87.7;240.5;206.2;127.7;105.2;60.9;36.2
2022;7;315.3;204.5;86.1;196.3;179.6;121.6;89.0;58.3;37.0
