Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 17/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;53%;47%;836;8.4%;809;165;20%;12;1.34%
2020;11;6,429;45;56%;44%;5,765;5.3%;5,631;532;9%;84;1.31%
2020;12;22,408;45;55%;45%;20,154;3.9%;19,375;2,230;12%;474;2.12%
2020;13;33,970;48;49%;51%;30,824;3.3%;29,528;5,145;17%;1,460;4.30%
2020;14;36,052;51;45%;55%;32,035;5.6%;31,617;6,091;19%;2,258;6.26%
2020;15;27,156;52;43%;57%;23,579;8.5%;24,149;4,730;20%;1,876;6.91%
2020;16;17,342;51;45%;55%;14,877;11.5%;15,529;3,378;22%;1,217;7.02%
2020;17;12,359;50;45%;55%;10,270;13.9%;10,983;2,240;20%;723;5.85%
2020;18;7,438;48;48%;52%;6,258;17.6%;6,610;1,365;21%;386;5.19%
2020;19;6,239;47;48%;52%;5,253;19.7%;5,631;1,082;19%;257;4.12%
2020;20;4,761;45;50%;50%;3,946;23.2%;4,243;763;18%;164;3.44%
2020;21;3,601;44;50%;50%;2,836;26.5%;3,119;513;16%;113;3.14%
2020;22;3,207;42;52%;48%;2,550;23.3%;2,771;422;15%;65;2.03%
2020;23;2,351;39;51%;49%;1,838;23.2%;2,080;308;15%;45;1.91%
2020;24;2,342;37;54%;46%;1,744;24.4%;2,088;288;14%;33;1.41%
2020;25;4,126;36;59%;41%;2,939;25.1%;3,772;319;8%;41;0.99%
2020;26;3,211;37;55%;45%;2,330;23.3%;2,862;296;10%;23;0.72%
2020;27;2,690;36;52%;48%;2,066;26.7%;2,463;259;11%;26;0.97%
2020;28;2,426;36;56%;44%;1,934;23.9%;2,193;256;12%;25;1.03%
2020;29;3,016;36;52%;48%;2,361;23.0%;2,647;317;12%;30;0.99%
2020;30;3,929;36;52%;48%;3,183;27.4%;3,478;334;10%;33;0.84%
2020;31;4,823;36;50%;50%;3,716;24.6%;4,175;389;9%;32;0.66%
2020;32;6,054;34;54%;46%;4,553;30.0%;5,286;398;8%;31;0.51%
2020;33;7,949;32;53%;47%;5,856;33.2%;7,009;438;6%;30;0.38%
2020;34;9,591;32;55%;45%;7,213;34.5%;8,310;434;5%;30;0.31%
2020;35;8,820;32;53%;47%;6,878;30.8%;7,431;366;5%;18;0.20%
2020;36;8,615;33;54%;46%;6,656;27.2%;7,083;397;6%;36;0.42%
2020;37;9,768;35;52%;48%;7,612;20.5%;8,039;467;6%;66;0.68%
2020;38;12,294;36;51%;49%;9,768;18.7%;10,067;674;7%;80;0.65%
2020;39;13,064;37;52%;48%;10,369;18.2%;10,858;771;7%;107;0.82%
2020;40;15,928;38;52%;48%;12,618;17.5%;13,486;874;6%;121;0.76%
2020;41;26,126;39;51%;49%;20,117;16.6%;21,559;1587;7%;239;0.91%
2020;42;42,086;39;51%;49%;30,902;16.0%;33,724;2329;7%;459;1.09%
2020;43;74,811;40;50%;50%;52,419;15.5%;58,160;4102;7%;991;1.32%
2020;44;111,078;41;50%;50%;75,661;15.8%;84,005;5920;7%;1592;1.43%
2020;45;125,794;41;49%;51%;85,257;15.2%;92,804;6835;7%;1858;1.48%
2020;46;127,839;42;48%;52%;85,820;14.8%;94,573;7479;8%;2469;1.93%
2020;47;128,445;43;47%;53%;86,453;14.8%;94,072;8024;9%;3150;2.45%
2020;48;123,288;44;47%;53%;82,508;15.5%;89,976;8258;9%;3510;2.85%
2020;49;128,489;45;46%;54%;87,636;14.2%;94,308;9090;10%;4372;3.40%
2020;50;156,489;46;45%;55%;107,606;14.7%;114,817;11162;10%;5604;3.58%
2020;51;174,879;46;45%;55%;118,376;14.5%;126,789;12425;10%;6278;3.59%
2020;52;139,154;48;44%;56%;91,500;15.8%;100,129;10918;11%;5567;4.00%
2020;53;123,151;49;44%;56%;84,388;13.4%;90,417;10796;12%;5549;4.51%
2021;1;145,533;48;45%;55%;101,868;13.2%;107,114;10870;10%;5540;3.81%
2021;2;119,049;48;45%;55%;81,219;15.8%;87,471;9577;11%;4936;4.15%
2021;3;95,602;48;46%;54%;66,919;15.7%;72,567;8521;12%;3928;4.11%
2021;4;78,250;48;46%;54%;55,437;16.0%;61,286;7235;12%;2989;3.82%
2021;5;64,669;46;47%;53%;46,708;16.0%;51,280;6189;12%;2143;3.31%
2021;6;50,861;45;48%;52%;37,430;16.3%;40,510;4967;12%;1612;3.17%
2021;7;52,491;44;49%;51%;38,866;16.2%;42,093;4896;12%;1399;2.67%
2021;8;56,450;42;50%;50%;41,792;15.7%;44,959;4538;10%;1146;2.03%
2021;9;58,500;40;51%;49%;43,481;15.4%;46,285;4097;9%;954;1.63%
2021;10;71,456;39;50%;50%;52,352;15.6%;55,244;4543;8%;995;1.39%
2021;11;92,775;39;50%;50%;67,329;15.4%;70,998;5286;7%;1132;1.22%
2021;12;116,596;38;51%;49%;81,523;15.7%;88,163;6211;7%;1309;1.12%
2021;13;110,406;39;51%;49%;74,931;15.3%;81,602;6057;7%;1247;1.13%
2021;14;118,519;39;51%;49%;79,809;13.9%;86,806;6415;7%;1092;0.92%
2021;15;142,548;38;51%;49%;91,504;15.6%;102,046;6382;6%;936;0.66%
2021;16;145,336;37;52%;48%;89,223;16.3%;102,023;5759;6%;530;0.36%
2021;17;124,151;37;52%;48%;67,889;17.0%;81,126;3655;5%;163;0.13%
