Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 34/2021;;;;;;;;;;;;
Stand: 31.08.2021 08:37:46;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;898;43;53%;47%;834;8.4%;810;162;20%;12;1.34%
2020;11;6,431;45;56%;44%;5,757;5.4%;5,670;530;9%;84;1.31%
2020;12;22,391;45;55%;45%;20,091;3.9%;19,412;2,235;12%;476;2.13%
2020;13;33,969;48;50%;50%;30,756;3.3%;29,694;5,154;17%;1,463;4.31%
2020;14;36,047;51;45%;55%;31,996;5.5%;31,977;6,116;19%;2,267;6.29%
2020;15;27,134;52;43%;57%;23,561;8.4%;24,337;4,751;20%;1,875;6.91%
2020;16;17,332;51;45%;55%;14,834;11.5%;15,624;3,388;22%;1,220;7.04%
2020;17;12,344;50;45%;55%;10,242;13.9%;11,037;2,245;20%;725;5.87%
2020;18;7,428;48;48%;52%;6,170;16.6%;6,658;1,367;21%;387;5.21%
2020;19;6,237;47;48%;52%;5,241;19.4%;5,659;1,081;19%;258;4.14%
2020;20;4,764;45;50%;50%;3,946;23.1%;4,265;764;18%;164;3.44%
2020;21;3,597;44;50%;50%;2,832;26.4%;3,140;515;16%;112;3.11%
2020;22;3,205;42;52%;48%;2,594;24.3%;2,798;421;15%;64;2.00%
2020;23;2,352;39;51%;49%;1,860;24.0%;2,094;307;15%;45;1.91%
2020;24;2,341;37;53%;47%;1,793;25.9%;2,098;289;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,965;25.1%;3,844;324;8%;41;0.98%
2020;26;3,153;37;55%;45%;2,342;23.8%;2,824;297;11%;24;0.76%
2020;27;2,688;36;52%;48%;2,067;26.7%;2,468;263;11%;26;0.97%
2020;28;2,426;36;56%;44%;1,914;23.8%;2,197;258;12%;25;1.03%
2020;29;3,023;36;52%;48%;2,376;23.0%;2,667;322;12%;30;0.99%
2020;30;3,925;36;52%;48%;3,167;27.1%;3,477;334;10%;33;0.84%
2020;31;4,833;36;50%;50%;3,790;25.1%;4,236;389;9%;36;0.74%
2020;32;6,055;34;54%;46%;4,582;30.2%;5,303;404;8%;32;0.53%
2020;33;7,950;32;53%;47%;5,870;33.2%;7,008;446;6%;31;0.39%
2020;34;9,598;32;55%;45%;7,209;34.6%;8,358;437;5%;31;0.32%
2020;35;8,825;32;53%;47%;6,870;30.5%;7,476;373;5%;18;0.20%
2020;36;8,616;33;54%;46%;6,683;26.9%;7,172;409;6%;36;0.42%
2020;37;9,760;35;52%;48%;7,691;20.2%;8,147;483;6%;68;0.70%
2020;38;12,291;36;51%;49%;9,926;18.2%;10,315;689;7%;81;0.66%
2020;39;13,058;37;52%;48%;10,482;18.1%;11,005;780;7%;109;0.83%
2020;40;15,922;38;52%;48%;12,688;17.3%;13,640;890;7%;122;0.77%
2020;41;26,110;39;51%;49%;20,165;16.3%;21,710;1614;7%;245;0.94%
2020;42;42,060;39;51%;49%;31,173;15.8%;34,216;2360;7%;463;1.10%
2020;43;74,861;40;50%;50%;53,056;15.2%;59,011;4194;7%;1010;1.35%
2020;44;111,018;41;50%;50%;76,560;15.4%;85,280;6010;7%;1620;1.46%
2020;45;125,734;41;49%;51%;86,822;15.1%;95,109;6932;7%;1887;1.50%
2020;46;127,771;42;48%;52%;87,389;14.7%;97,344;7633;8%;2519;1.97%
2020;47;128,359;43;47%;53%;88,208;14.7%;97,306;8160;8%;3203;2.50%
2020;48;123,187;44;47%;53%;84,241;15.4%;93,009;8408;9%;3577;2.90%
2020;49;128,359;45;46%;54%;89,252;14.2%;97,300;9241;9%;4449;3.47%
2020;50;156,290;46;45%;55%;109,897;14.6%;118,397;11356;10%;5730;3.67%
2020;51;174,721;46;45%;55%;121,845;14.5%;131,193;12634;10%;6414;3.67%
2020;52;138,954;48;44%;56%;94,878;15.8%;103,920;11124;11%;5675;4.08%
2020;53;123,070;49;44%;56%;87,177;13.4%;94,634;11066;12%;5673;4.61%
