Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 12/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;895;43;53%;47%;836;8.4%;807;162;20%;12;1.34%
2020;11;6,431;45;56%;44%;5,771;5.3%;5,631;529;9%;85;1.32%
2020;12;22,440;45;55%;45%;20,197;3.9%;19,396;2,218;11%;478;2.13%
2020;13;33,999;48;50%;50%;30,856;3.3%;29,541;5,137;17%;1,466;4.31%
2020;14;36,083;51;45%;55%;32,068;5.5%;31,637;6,086;19%;2,258;6.26%
2020;15;27,181;52;43%;57%;23,607;8.5%;24,163;4,726;20%;1,879;6.91%
2020;16;17,365;51;45%;55%;14,890;11.5%;15,541;3,374;22%;1,217;7.01%
2020;17;12,375;50;45%;55%;10,284;13.9%;10,993;2,235;20%;720;5.82%
2020;18;7,444;48;48%;52%;6,259;17.6%;6,612;1,362;21%;386;5.19%
2020;19;6,239;47;48%;52%;5,248;19.6%;5,632;1,080;19%;256;4.10%
2020;20;4,758;45;49%;51%;3,953;23.1%;4,235;750;18%;163;3.43%
2020;21;3,621;43;50%;50%;2,835;26.3%;3,122;514;16%;113;3.12%
2020;22;3,205;42;52%;48%;2,547;23.2%;2,769;419;15%;65;2.03%
2020;23;2,352;39;51%;49%;1,837;23.2%;2,080;308;15%;45;1.91%
2020;24;2,342;37;54%;46%;1,743;24.4%;2,088;288;14%;33;1.41%
2020;25;4,125;36;59%;41%;2,935;25.1%;3,771;319;8%;41;0.99%
2020;26;3,213;37;55%;45%;2,331;23.3%;2,864;296;10%;23;0.72%
2020;27;2,691;36;52%;48%;2,065;26.7%;2,466;259;11%;26;0.97%
2020;28;2,428;36;56%;44%;1,934;23.9%;2,195;256;12%;25;1.03%
2020;29;3,015;36;52%;48%;2,358;22.9%;2,646;318;12%;30;1.00%
2020;30;3,929;36;52%;48%;3,182;27.4%;3,477;334;10%;33;0.84%
2020;31;4,817;36;50%;50%;3,705;24.6%;4,166;389;9%;31;0.64%
2020;32;6,056;34;54%;46%;4,549;30.0%;5,283;399;8%;31;0.51%
2020;33;7,949;32;53%;47%;5,851;33.2%;7,007;438;6%;30;0.38%
2020;34;9,591;32;55%;45%;7,202;34.6%;8,307;434;5%;30;0.31%
2020;35;8,821;32;53%;47%;6,872;30.7%;7,425;367;5%;19;0.22%
2020;36;8,619;33;54%;46%;6,656;27.2%;7,085;397;6%;36;0.42%
2020;37;9,773;35;52%;48%;7,606;20.5%;8,035;464;6%;66;0.68%
2020;38;12,294;36;51%;49%;9,765;18.7%;10,062;674;7%;79;0.64%
2020;39;13,063;37;52%;48%;10,359;18.2%;10,849;771;7%;107;0.82%
2020;40;15,930;38;52%;48%;12,605;17.6%;13,474;873;6%;121;0.76%
2020;41;26,126;39;51%;49%;20,089;16.6%;21,537;1586;7%;239;0.91%
2020;42;42,087;39;51%;49%;30,857;16.0%;33,681;2324;7%;455;1.08%
2020;43;74,828;40;50%;50%;52,372;15.5%;58,082;4096;7%;986;1.32%
2020;44;111,096;41;50%;50%;75,593;15.8%;83,889;5902;7%;1579;1.42%
2020;45;125,805;41;49%;51%;84,713;15.3%;92,597;6820;7%;1847;1.47%
2020;46;127,868;42;48%;52%;85,460;14.9%;94,318;7462;8%;2449;1.92%
2020;47;128,476;43;47%;53%;86,020;14.9%;93,881;8003;9%;3124;2.43%
2020;48;123,287;44;47%;53%;82,179;15.5%;89,610;8234;9%;3485;2.83%
2020;49;128,502;45;46%;54%;87,039;14.2%;93,652;9071;10%;4346;3.38%
2020;50;156,533;46;45%;55%;106,251;14.5%;113,575;11079;10%;5570;3.56%
2020;51;174,930;46;45%;55%;117,184;14.4%;125,367;12313;10%;6233;3.56%
2020;52;139,245;48;44%;56%;90,749;15.7%;99,133;10884;11%;5534;3.97%
2020;53;123,184;49;44%;56%;83,366;13.4%;89,375;10700;12%;5496;4.46%
2021;1;145,482;48;45%;55%;100,238;13.2%;105,494;10737;10%;5474;3.76%
2021;2;118,986;48;45%;55%;80,139;15.8%;86,517;9499;11%;4856;4.08%
2021;3;95,584;48;46%;54%;66,118;15.7%;72,063;8471;12%;3864;4.04%
2021;4;78,253;48;46%;54%;54,595;15.9%;60,457;7135;12%;2905;3.71%
2021;5;64,648;46;47%;53%;45,783;16.0%;50,559;6088;12%;2071;3.20%
2021;6;50,865;45;48%;52%;36,694;16.4%;40,016;4858;12%;1531;3.01%
2021;7;52,506;44;49%;51%;38,264;16.3%;41,751;4804;12%;1288;2.45%
2021;8;56,480;42;50%;50%;41,042;15.8%;44,398;4430;10%;998;1.77%
2021;9;58,492;40;51%;49%;42,256;15.5%;45,447;3922;9%;732;1.25%
2021;10;71,416;39;50%;50%;49,323;15.4%;52,938;4140;8%;607;0.85%
2021;11;92,574;39;50%;50%;61,469;15.3%;66,438;4262;6%;372;0.40%
2022;12;114,770;38;51%;49%;62,803;16.2%;74,207;3627;5%;142;0.12%
