Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 11/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;895;43;53%;47%;836;8.4%;806;162;20%;12;1.34%
2020;11;6,425;45;56%;44%;5,770;5.3%;5,625;523;9%;85;1.32%
2020;12;22,433;45;55%;45%;20,202;3.9%;19,390;2,210;11%;478;2.13%
2020;13;34,005;48;49%;51%;30,867;3.3%;29,548;5,132;17%;1,465;4.31%
2020;14;36,084;51;45%;55%;32,076;5.5%;31,637;6,082;19%;2,259;6.26%
2020;15;27,192;52;43%;57%;23,611;8.4%;24,168;4,722;20%;1,879;6.91%
2020;16;17,368;51;45%;55%;14,892;11.4%;15,541;3,371;22%;1,217;7.01%
2020;17;12,375;50;45%;55%;10,283;13.9%;10,993;2,234;20%;720;5.82%
2020;18;7,445;48;48%;52%;6,256;17.5%;6,612;1,360;21%;386;5.18%
2020;19;6,240;47;48%;52%;5,249;19.6%;5,633;1,080;19%;256;4.10%
2020;20;4,753;45;49%;51%;3,955;23.1%;4,228;742;18%;163;3.43%
2020;21;3,620;43;50%;50%;2,836;26.3%;3,122;513;16%;113;3.12%
2020;22;3,207;42;52%;48%;2,549;23.2%;2,770;420;15%;65;2.03%
2020;23;2,357;39;51%;49%;1,838;23.2%;2,080;308;15%;45;1.91%
2020;24;2,344;37;54%;46%;1,743;24.4%;2,087;287;14%;33;1.41%
2020;25;4,129;36;59%;41%;2,937;25.1%;3,775;319;8%;41;0.99%
2020;26;3,218;37;55%;45%;2,330;23.3%;2,870;295;10%;23;0.71%
2020;27;2,697;36;52%;48%;2,065;26.7%;2,472;259;10%;26;0.96%
2020;28;2,428;36;56%;44%;1,934;23.9%;2,195;256;12%;25;1.03%
2020;29;3,016;36;52%;48%;2,358;22.9%;2,647;318;12%;30;0.99%
2020;30;3,933;36;52%;48%;3,184;27.4%;3,481;334;10%;33;0.84%
2020;31;4,820;36;50%;50%;3,704;24.5%;4,166;389;9%;32;0.66%
2020;32;6,056;34;54%;46%;4,546;30.0%;5,282;399;8%;31;0.51%
2020;33;7,951;32;53%;47%;5,850;33.2%;7,007;438;6%;30;0.38%
2020;34;9,593;32;55%;45%;7,201;34.6%;8,308;434;5%;30;0.31%
2020;35;8,822;32;53%;47%;6,870;30.7%;7,422;367;5%;19;0.22%
2020;36;8,620;33;54%;46%;6,656;27.2%;7,085;397;6%;36;0.42%
2020;37;9,772;35;52%;48%;7,603;20.5%;8,032;463;6%;65;0.67%
2020;38;12,296;36;51%;49%;9,759;18.7%;10,056;674;7%;79;0.64%
2020;39;13,067;37;52%;48%;10,357;18.2%;10,839;772;7%;108;0.83%
2020;40;15,931;38;52%;48%;12,601;17.5%;13,459;873;6%;121;0.76%
2020;41;26,129;39;51%;49%;20,083;16.6%;21,532;1585;7%;239;0.91%
2020;42;42,086;39;51%;49%;30,836;16.0%;33,655;2321;7%;456;1.08%
2020;43;74,840;40;50%;50%;52,279;15.5%;58,054;4093;7%;986;1.32%
2020;44;111,107;41;50%;50%;75,175;15.8%;83,859;5900;7%;1576;1.42%
2020;45;125,815;41;49%;51%;84,523;15.3%;92,422;6805;7%;1844;1.47%
2020;46;127,889;42;48%;52%;85,271;14.9%;94,210;7445;8%;2443;1.91%
2020;47;128,500;43;47%;53%;85,888;14.9%;93,770;7990;9%;3123;2.43%
2020;48;123,297;44;47%;53%;81,802;15.5%;89,468;8219;9%;3477;2.82%
2020;49;128,503;45;46%;54%;86,662;14.1%;93,441;9036;10%;4337;3.38%
2020;50;156,550;46;45%;55%;105,773;14.4%;113,331;11051;10%;5561;3.55%
2020;51;174,941;46;45%;55%;116,790;14.4%;125,263;12293;10%;6215;3.55%
2020;52;139,258;48;44%;56%;90,208;15.7%;98,823;10845;11%;5522;3.97%
2020;53;123,200;49;44%;56%;82,828;13.4%;89,019;10653;12%;5484;4.45%
2021;1;145,497;48;45%;55%;99,708;13.2%;105,274;10707;10%;5456;3.75%
2021;2;118,990;48;45%;55%;79,856;15.8%;86,284;9474;11%;4839;4.07%
2021;3;95,591;48;46%;54%;65,755;15.8%;71,748;8433;12%;3847;4.02%
2021;4;78,268;48;46%;54%;54,307;15.9%;60,316;7111;12%;2872;3.67%
2021;5;64,661;46;47%;53%;45,538;15.9%;50,396;6049;12%;2044;3.16%
2021;6;50,870;45;48%;52%;36,586;16.4%;39,926;4818;12%;1479;2.91%
2021;7;52,497;44;49%;51%;38,093;16.4%;41,581;4765;11%;1224;2.33%
2021;8;56,486;42;50%;50%;40,743;15.8%;44,130;4372;10%;919;1.63%
2021;9;58,495;40;51%;49%;41,266;15.5%;44,823;3774;8%;589;1.01%
2021;10;71,302;39;50%;50%;47,210;15.4%;51,282;3694;7%;384;0.54%
2021;11;91,523;39;50%;50%;52,624;15.8%;59,912;3138;5%;137;0.15%
