Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 09/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;896;43;53%;47%;836;8.1%;806;162;20%;12;1.34%
2020;11;6,425;45;56%;44%;5,770;5.3%;5,625;523;9%;85;1.32%
2020;12;22,429;45;55%;45%;20,200;3.9%;19,385;2,210;11%;478;2.13%
2020;13;34,005;48;50%;50%;30,867;3.3%;29,548;5,133;17%;1,465;4.31%
2020;14;36,086;51;45%;55%;32,073;5.5%;31,640;6,081;19%;2,260;6.26%
2020;15;27,190;52;43%;57%;23,605;8.4%;24,166;4,720;20%;1,879;6.91%
2020;16;17,371;51;45%;55%;14,885;11.4%;15,544;3,372;22%;1,217;7.01%
2020;17;12,376;50;45%;55%;10,281;13.9%;10,992;2,234;20%;720;5.82%
2020;18;7,445;48;48%;52%;6,256;17.5%;6,612;1,360;21%;386;5.18%
2020;19;6,239;47;48%;52%;5,248;19.6%;5,632;1,080;19%;255;4.09%
2020;20;4,753;45;49%;51%;3,955;23.1%;4,228;742;18%;163;3.43%
2020;21;3,621;43;50%;50%;2,836;26.3%;3,123;513;16%;113;3.12%
2020;22;3,208;42;52%;48%;2,549;23.2%;2,771;419;15%;65;2.03%
2020;23;2,357;39;51%;49%;1,838;23.2%;2,080;308;15%;45;1.91%
2020;24;2,344;37;54%;46%;1,743;24.4%;2,087;287;14%;32;1.37%
2020;25;4,129;36;59%;41%;2,937;25.1%;3,775;319;8%;41;0.99%
2020;26;3,218;37;55%;45%;2,329;23.3%;2,870;295;10%;23;0.71%
2020;27;2,697;36;52%;48%;2,065;26.7%;2,472;259;10%;26;0.96%
2020;28;2,427;36;56%;44%;1,933;23.9%;2,194;256;12%;25;1.03%
2020;29;3,016;36;52%;48%;2,358;22.9%;2,647;318;12%;30;0.99%
2020;30;3,932;36;52%;48%;3,183;27.4%;3,480;334;10%;33;0.84%
2020;31;4,820;36;50%;50%;3,704;24.5%;4,166;389;9%;32;0.66%
2020;32;6,056;34;54%;46%;4,546;30.0%;5,282;399;8%;31;0.51%
2020;33;7,951;32;53%;47%;5,850;33.2%;7,007;438;6%;30;0.38%
2020;34;9,592;32;55%;45%;7,201;34.6%;8,307;434;5%;30;0.31%
2020;35;8,820;32;53%;47%;6,871;30.7%;7,421;367;5%;19;0.22%
2020;36;8,623;33;54%;46%;6,657;27.2%;7,087;397;6%;36;0.42%
2020;37;9,775;35;52%;48%;7,600;20.4%;8,029;463;6%;65;0.66%
2020;38;12,294;36;51%;49%;9,753;18.7%;10,043;674;7%;79;0.64%
2020;39;13,067;37;52%;48%;10,352;18.2%;10,825;770;7%;108;0.83%
2020;40;15,933;38;52%;48%;12,597;17.5%;13,454;873;6%;120;0.75%
2020;41;26,131;39;51%;49%;20,084;16.6%;21,533;1584;7%;239;0.91%
2020;42;42,084;39;51%;49%;30,829;16.0%;33,650;2320;7%;456;1.08%
2020;43;74,854;40;50%;50%;51,982;15.6%;57,970;4087;7%;979;1.31%
2020;44;111,126;41;50%;50%;75,041;15.9%;83,784;5889;7%;1575;1.42%
2020;45;125,834;41;49%;51%;84,407;15.3%;92,171;6768;7%;1841;1.46%
2020;46;127,907;42;48%;52%;85,033;14.8%;94,168;7436;8%;2439;1.91%
2020;47;128,502;43;47%;53%;85,571;14.8%;93,669;7973;9%;3112;2.42%
2020;48;123,314;44;47%;53%;81,621;15.5%;89,379;8198;9%;3469;2.81%
2020;49;128,513;45;46%;54%;86,328;14.1%;93,228;9003;10%;4318;3.36%
2020;50;156,566;46;45%;55%;105,478;14.4%;113,189;11032;10%;5542;3.54%
2020;51;174,963;46;45%;55%;116,461;14.3%;125,104;12277;10%;6189;3.54%
2020;52;139,274;48;44%;56%;89,581;15.7%;98,105;10762;11%;5494;3.94%
2020;53;123,215;49;44%;56%;82,704;13.4%;88,840;10617;12%;5463;4.43%
2021;1;145,530;48;45%;55%;98,993;13.3%;104,782;10666;10%;5427;3.73%
2021;2;119,002;48;45%;55%;79,514;15.8%;86,010;9440;11%;4812;4.04%
2021;3;95,581;48;46%;54%;65,361;15.8%;71,498;8397;12%;3793;3.97%
2021;4;78,283;48;46%;54%;53,989;15.9%;60,076;7069;12%;2830;3.62%
2021;5;64,654;46;47%;53%;45,301;15.9%;50,186;6020;12%;1989;3.08%
2021;6;50,863;45;48%;52%;36,353;16.4%;39,720;4780;12%;1389;2.73%
2021;7;52,498;44;49%;51%;37,787;16.4%;41,312;4700;11%;1132;2.16%
2021;8;56,482;42;50%;50%;39,635;15.7%;43,474;4219;10%;750;1.33%
2021;9;58,441;40;51%;49%;39,453;15.5%;43,674;3423;8%;371;0.63%
2021;10;70,689;39;50%;50%;40,811;15.8%;46,473;2760;6%;140;0.20%
