Stand: 10.11.2021 08:25:59;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;800;160;20%;12;1.33%
2020;11;6,431;45;56%;44%;5,757;5.4%;5,592;525;9%;84;1.31%
2020;12;22,389;45;55%;45%;20,052;3.9%;19,160;2,231;12%;476;2.13%
2020;13;33,964;48;49%;51%;30,693;3.3%;29,286;5,143;18%;1,461;4.30%
2020;14;36,051;51;45%;55%;31,919;5.4%;31,581;6,099;19%;2,268;6.29%
2020;15;27,131;52;43%;57%;23,492;8.4%;24,044;4,734;20%;1,875;6.91%
2020;16;17,325;51;45%;55%;14,781;11.3%;15,383;3,385;22%;1,220;7.04%
2020;17;12,348;50;45%;55%;10,193;13.5%;10,817;2,239;21%;726;5.88%
2020;18;7,427;48;48%;52%;6,151;16.4%;6,581;1,361;21%;387;5.21%
2020;19;6,235;47;48%;52%;5,216;19.0%;5,585;1,081;19%;257;4.12%
2020;20;4,759;45;50%;50%;3,905;22.4%;4,160;761;18%;164;3.45%
2020;21;3,597;44;50%;50%;2,806;25.8%;3,101;513;17%;112;3.11%
2020;22;3,205;42;52%;48%;2,577;23.8%;2,753;422;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,857;23.8%;2,084;307;15%;45;1.91%
2020;24;2,342;37;53%;47%;1,790;25.7%;2,090;290;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,955;24.8%;3,831;324;8%;41;0.98%
2020;26;3,155;37;55%;45%;2,340;23.8%;2,816;297;11%;24;0.76%
2020;27;2,686;36;52%;48%;2,066;26.7%;2,454;263;11%;26;0.97%
2020;28;2,422;36;56%;44%;1,908;23.6%;2,174;258;12%;25;1.03%
2020;29;3,025;36;52%;48%;2,369;22.8%;2,641;321;12%;30;0.99%
