Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 16/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;53%;47%;836;8.4%;809;165;20%;12;1.34%
2020;11;6,429;45;56%;44%;5,765;5.3%;5,631;533;9%;84;1.31%
2020;12;22,410;45;55%;45%;20,156;3.9%;19,377;2,230;12%;475;2.12%
2020;13;33,970;48;49%;51%;30,824;3.3%;29,519;5,144;17%;1,463;4.31%
2020;14;36,053;51;45%;55%;32,038;5.6%;31,615;6,092;19%;2,261;6.27%
2020;15;27,158;52;43%;57%;23,580;8.5%;24,151;4,731;20%;1,876;6.91%
2020;16;17,342;51;45%;55%;14,877;11.5%;15,528;3,378;22%;1,217;7.02%
2020;17;12,362;50;45%;55%;10,270;13.9%;10,984;2,240;20%;721;5.83%
2020;18;7,437;48;48%;52%;6,257;17.6%;6,609;1,364;21%;386;5.19%
2020;19;6,238;47;48%;52%;5,253;19.7%;5,631;1,082;19%;257;4.12%
2020;20;4,761;45;50%;50%;3,946;23.2%;4,243;763;18%;164;3.44%
2020;21;3,608;43;50%;50%;2,837;26.5%;3,120;513;16%;113;3.13%
2020;22;3,205;42;52%;48%;2,548;23.2%;2,769;421;15%;65;2.03%
2020;23;2,352;39;51%;49%;1,838;23.2%;2,080;308;15%;45;1.91%
2020;24;2,342;37;54%;46%;1,743;24.4%;2,088;288;14%;33;1.41%
2020;25;4,126;36;59%;41%;2,937;25.1%;3,772;319;8%;41;0.99%
2020;26;3,212;37;55%;45%;2,330;23.3%;2,863;296;10%;23;0.72%
2020;27;2,690;36;52%;48%;2,066;26.7%;2,463;259;11%;26;0.97%
2020;28;2,426;36;56%;44%;1,934;23.9%;2,192;256;12%;25;1.03%
2020;29;3,015;36;52%;48%;2,360;23.0%;2,646;317;12%;30;1.00%
2020;30;3,929;36;52%;48%;3,183;27.4%;3,478;334;10%;33;0.84%
2020;31;4,823;36;50%;50%;3,715;24.6%;4,175;389;9%;32;0.66%
2020;32;6,057;34;54%;46%;4,556;30.0%;5,287;399;8%;31;0.51%
2020;33;7,949;32;53%;47%;5,855;33.3%;7,009;439;6%;30;0.38%
2020;34;9,590;32;55%;45%;7,211;34.5%;8,309;434;5%;30;0.31%
2020;35;8,821;32;53%;47%;6,878;30.8%;7,428;366;5%;18;0.20%
2020;36;8,615;33;54%;46%;6,656;27.2%;7,081;397;6%;36;0.42%
2020;37;9,770;35;52%;48%;7,613;20.5%;8,038;466;6%;66;0.68%
2020;38;12,296;36;51%;49%;9,770;18.7%;10,068;674;7%;79;0.64%
2020;39;13,063;37;52%;48%;10,369;18.2%;10,856;771;7%;107;0.82%
2020;40;15,928;38;52%;48%;12,616;17.5%;13,481;874;6%;121;0.76%
2020;41;26,127;39;51%;49%;20,102;16.6%;21,549;1587;7%;239;0.91%
2020;42;42,086;39;51%;49%;30,890;16.0%;33,713;2327;7%;460;1.09%
2020;43;74,817;40;50%;50%;52,413;15.5%;58,145;4101;7%;991;1.32%
2020;44;111,077;41;50%;50%;75,643;15.8%;83,954;5915;7%;1592;1.43%
2020;45;125,799;41;49%;51%;85,229;15.2%;92,757;6834;7%;1856;1.48%
2020;46;127,846;42;48%;52%;85,802;14.8%;94,482;7475;8%;2468;1.93%
2020;47;128,456;43;47%;53%;86,420;14.8%;93,995;8019;9%;3149;2.45%
2020;48;123,290;44;47%;53%;82,441;15.5%;89,846;8251;9%;3505;2.84%
2020;49;128,506;45;46%;54%;87,469;14.2%;94,164;9088;10%;4370;3.40%
2020;50;156,512;46;45%;55%;107,365;14.7%;114,700;11157;10%;5598;3.58%
2020;51;174,930;46;45%;55%;118,103;14.4%;126,478;12395;10%;6265;3.58%
2020;52;139,212;48;44%;56%;91,379;15.8%;99,948;10916;11%;5559;3.99%
2020;53;123,193;49;44%;56%;84,273;13.4%;90,311;10790;12%;5541;4.50%
2021;1;145,482;48;45%;55%;101,571;13.2%;106,772;10832;10%;5534;3.80%
2021;2;119,004;48;45%;55%;81,142;15.8%;87,319;9563;11%;4921;4.14%
2021;3;95,576;48;46%;54%;66,808;15.7%;72,476;8509;12%;3923;4.10%
2021;4;78,244;48;46%;54%;55,387;15.9%;61,176;7219;12%;2974;3.80%
2021;5;64,669;46;47%;53%;46,542;16.0%;51,107;6173;12%;2130;3.29%
2021;6;50,848;45;48%;52%;37,393;16.3%;40,456;4950;12%;1598;3.14%
2021;7;52,492;44;49%;51%;38,691;16.2%;42,067;4882;12%;1387;2.64%
2021;8;56,460;42;50%;50%;41,547;15.7%;44,892;4516;10%;1127;2.00%
2021;9;58,502;40;51%;49%;43,205;15.5%;46,193;4076;9%;939;1.61%
2021;10;71,452;39;50%;50%;52,136;15.6%;55,073;4516;8%;970;1.36%
2021;11;92,789;39;50%;50%;66,913;15.4%;70,649;5228;7%;1092;1.18%
2021;12;116,631;38;51%;49%;80,233;15.6%;87,289;6071;7%;1213;1.04%
2021;13;110,441;39;51%;49%;73,414;15.2%;80,286;5868;7%;1113;1.01%
2021;14;118,588;39;51%;49%;77,964;13.8%;85,169;6070;7%;849;0.72%
2021;15;142,522;38;51%;49%;87,364;15.5%;99,114;5536;6%;535;0.38%
2021;16;144,068;37;52%;48%;75,752;16.8%;92,276;4004;4%;161;0.11%
