Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01 - 14/2022;;;;;;;
;;;;;;;
Stand: 13.04.2022 07:47:08;;;;;;;
;;;;;;;
;;;;;;;
;;Fälle 0 - 4-Jährige;Fälle 5 - 14-Jährige;Fälle 15 - 34-Jährige;Fälle 35 - 59-Jährige;Fälle 60 - 79-Jährige;Fälle 80+ -Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;237;152;77
2020;12;14;6;153;724;861;472
2020;13;33;16;261;1360;2217;1258
2020;14;27;17;305;1348;2484;1924
2020;15;22;8;226;984;1761;1732
2020;16;9;12;192;635;1281;1251
2020;17;20;15;183;418;768;832
2020;18;19;8;107;287;513;429
2020;19;10;7;91;241;383;350
2020;20;7;18;74;180;231;248
2020;21;4;2;50;120;170;166
2020;22;4;;38;124;138;118
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;46;103;79;57
2020;27;3;4;54;93;57;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;92;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;107;76
2020;32;4;3;70;148;114;66
2020;33;11;13;75;151;116;78
2020;34;9;11;95;171;107;45
2020;35;6;8;67;151;101;40
2020;36;4;7;76;147;122;50
2020;37;12;12;50;162;141;98
2020;38;8;11;81;238;212;136
2020;39;9;7;111;242;260;154
2020;40;15;10;118;283;288;176
2020;41;21;17;205;497;515;361
2020;42;24;26;275;685;788;558
2020;43;50;30;433;1074;1432;1143
2020;44;63;52;556;1519;2111;1696
2020;45;65;58;603;1706;2417;2068
2020;46;66;70;583;1744;2629;2519
2020;47;54;60;611;1698;2901;2847
2020;48;60;67;573;1722;2877;3096
2020;49;58;62;610;1690;3204;3628
2020;50;69;67;681;1986;3978;4563
2020;51;77;84;721;2209;4429;5136
2020;52;52;50;586;1869;3936;4610
2020;53;73;51;615;1929;3876;4498
2021;01;68;34;596;1846;4009;4705
2021;02;60;47;533;1617;3459;4266
2021;03;41;35;414;1509;3195;3734
2021;04;34;34;408;1261;2816;3021
2021;05;45;36;358;1153;2380;2544
2021;06;42;25;308;987;1972;1906
2021;07;37;23;311;1064;2013;1707
2021;08;48;30;327;1121;1823;1505
2021;09;53;28;354;1068;1673;1270
2021;10;52;36;410;1375;1747;1297
2021;11;85;71;493;1648;2183;1319
2021;12;94;91;626;1998;2552;1541
2021;13;95;87;627;2073;2649;1428
2021;14;112;71;756;2383;2854;1439
2021;15;93;85;768;2396;3048;1459
2021;16;96;89;806;2571;3031;1428
2021;17;79;103;659;2186;2567;1183
2021;18;81;69;567;1749;2095;965
2021;19;67;44;459;1275;1510;712
2021;20;49;42;360;864;973;507
2021;21;28;25;213;570;580;303
2021;22;13;23;156;397;349;203
2021;23;19;22;125;277;241;128
2021;24;16;7;86;203;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;111;89;37
2021;27;6;6;76;130;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;174;297;176;98
2021;31;22;22;258;386;195;128
2021;32;57;39;380;678;341;174
2021;33;75;60;535;985;454;245
2021;34;86;76;651;1349;650;377
2021;35;78;71;623;1294;724;475
2021;36;96;84;581;1179;793;553
2021;37;79;56;468;984;659;530
2021;38;71;55;392;822;663;467
2021;39;67;54;383;799;654;585
2021;40;50;47;304;781;777;653
2021;41;47;54;381;859;937;778
2021;42;83;58;509;1201;1506;1371
2021;43;87;73;544;1542;1864;1789
2021;44;95;107;576;1690;2254;2273
2021;45;106;152;700;2107;3005;2658
2021;46;142;219;777;2492;3513;3154
2021;47;148;187;783;2658;3863;3252
2021;48;159;214;795;2637;3717;2974
2021;49;145;182;783;2365;3456;2745
2021;50;129;154;676;1852;2819;2228
2021;51;105;112;496;1365;1873;1473
2021;52;111;67;624;1366;1737;1323
2022;01;166;116;896;1278;1525;1194
2022;02;237;195;922;1353;1255;1076
2022;03;323;314;1250;1682;1610;1480
2022;04;378;400;1351;1911;1983;1938
2022;05;391;420;1443;2094;2616;2659
2022;06;387;374;1334;2091;2688;3046
2022;07;404;320;1189;1941;2829;3271
2022;08;362;260;1089;1786;2823;3221
2022;09;361;232;1093;1695;2679;3110
2022;10;429;265;1210;1780;3068;3750
2022;11;435;299;1113;1857;3428;4015
2022;12;373;225;1097;1784;3288;3821
2022;13;357;192;880;1516;2762;3197
2022;14;251;168;654;1154;2141;2441
