;;;;;;;;;;;;
Stand: 24.11.2021 08:21:15;;;;;;;;;;;;
;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil der Hospitalisierten bei Fällen mit Angabe zur Hospitalisation;Anzahl Verstorben;Anteil Verstorben
2020;10;899;43;53%;47%;835;8.4%;800;160;20%;12;1.33%
2020;11;6,431;45;56%;44%;5,757;5.4%;5,589;525;9%;84;1.31%
2020;12;22,389;45;55%;45%;20,051;3.9%;19,155;2,231;12%;476;2.13%
2020;13;33,965;48;49%;51%;30,694;3.3%;29,281;5,145;18%;1,461;4.30%
2020;14;36,049;51;45%;55%;31,919;5.4%;31,572;6,101;19%;2,268;6.29%
2020;15;27,130;52;43%;57%;23,492;8.4%;24,043;4,734;20%;1,875;6.91%
2020;16;17,325;51;45%;55%;14,781;11.3%;15,382;3,385;22%;1,220;7.04%
2020;17;12,348;50;45%;55%;10,194;13.5%;10,816;2,239;21%;726;5.88%
2020;18;7,427;48;48%;52%;6,151;16.4%;6,581;1,361;21%;387;5.21%
2020;19;6,234;47;48%;52%;5,216;19.0%;5,584;1,081;19%;257;4.12%
2020;20;4,758;45;50%;50%;3,905;22.4%;4,160;761;18%;164;3.45%
2020;21;3,598;44;50%;50%;2,806;25.8%;3,101;512;17%;112;3.11%
2020;22;3,204;42;52%;48%;2,576;23.8%;2,752;421;15%;64;2.00%
2020;23;2,351;39;51%;49%;1,857;23.8%;2,084;307;15%;45;1.91%
2020;24;2,342;37;53%;47%;1,790;25.7%;2,090;290;14%;33;1.41%
2020;25;4,190;36;59%;41%;2,955;24.8%;3,831;324;8%;41;0.98%
2020;26;3,155;37;55%;45%;2,340;23.8%;2,816;297;11%;24;0.76%
2020;27;2,687;36;52%;48%;2,067;26.7%;2,454;263;11%;26;0.97%
2020;28;2,422;36;56%;44%;1,908;23.6%;2,174;258;12%;25;1.03%
2020;29;3,025;36;52%;48%;2,369;22.8%;2,641;321;12%;30;0.99%
2020;30;3,926;36;52%;48%;3,151;26.6%;3,425;335;10%;33;0.84%
2020;31;4,834;36;50%;50%;3,792;24.9%;4,222;386;9%;37;0.77%
2020;32;6,059;34;54%;46%;4,585;30.1%;5,296;404;8%;33;0.54%
2020;33;7,954;32;53%;47%;5,860;33.1%;6,948;446;6%;31;0.39%
2020;34;9,595;32;55%;45%;7,197;34.4%;8,262;438;5%;31;0.32%
2020;35;8,827;32;53%;47%;6,855;30.4%;7,387;374;5%;18;0.20%
2020;36;8,612;33;54%;46%;6,666;26.6%;7,088;407;6%;36;0.42%
2020;37;9,760;35;52%;48%;7,683;20.0%;7,997;476;6%;68;0.70%
2020;38;12,289;36;51%;49%;9,935;18.1%;10,202;684;7%;82;0.67%
2020;39;13,062;37;52%;48%;10,482;17.9%;10,903;781;7%;110;0.84%
2020;40;15,925;38;52%;48%;12,719;17.1%;13,546;892;7%;122;0.77%
2020;41;26,113;39;51%;49%;20,225;16.1%;21,612;1622;8%;245;0.94%
2020;42;42,062;39;51%;49%;31,309;15.7%;34,126;2360;7%;463;1.10%
2020;43;74,868;40;50%;50%;53,170;15.1%;58,782;4188;7%;1014;1.35%
2020;44;111,015;41;50%;50%;76,825;15.3%;84,878;6010;7%;1619;1.46%
2020;45;125,731;41;49%;51%;87,139;15.0%;94,442;6918;7%;1893;1.51%
2020;46;127,795;42;48%;52%;87,681;14.7%;96,829;7620;8%;2520;1.97%
2020;47;128,380;43;47%;53%;88,543;14.7%;96,815;8159;8%;3205;2.50%
2020;48;123,159;44;47%;53%;84,543;15.4%;92,551;8405;9%;3575;2.90%
2020;49;128,352;45;46%;54%;89,732;14.1%;96,741;9254;10%;4456;3.47%
2020;50;156,294;46;45%;55%;110,436;14.5%;117,710;11359;10%;5734;3.67%
2020;51;174,704;46;45%;55%;122,312;14.4%;130,356;12644;10%;6425;3.68%
2020;52;138,947;48;44%;56%;95,460;15.8%;103,497;11121;11%;5687;4.09%
2020;53;123,061;49;44%;56%;87,439;13.4%;93,683;11057;12%;5682;4.62%
2021;1;145,442;48;45%;55%;106,541;13.1%;111,824;11257;10%;5696;3.92%
2021;2;118,879;48;45%;55%;86,006;15.9%;91,692;9969;11%;5057;4.25%
2021;3;95,519;48;46%;54%;71,004;16.0%;76,075;8928;12%;4054;4.24%
2021;4;78,123;48;46%;54%;58,777;16.1%;64,160;7576;12%;3063;3.92%
2021;5;64,553;46;47%;53%;49,682;16.2%;53,516;6504;12%;2237;3.47%
2021;6;50,802;45;48%;52%;40,036;16.6%;42,478;5234;12%;1674;3.30%
2021;7;52,384;44;49%;51%;41,710;16.3%;44,043;5155;12%;1467;2.80%
2021;8;56,350;42;50%;50%;44,910;16.1%;47,264;4848;10%;1210;2.15%
2021;9;58,369;40;51%;49%;47,195;16.0%;48,861;4447;9%;1044;1.79%
2021;10;71,312;39;50%;50%;57,739;16.1%;58,893;4926;8%;1089;1.53%
2021;11;92,583;39;50%;50%;74,457;15.6%;75,911;5800;8%;1274;1.38%
2021;12;116,271;38;51%;49%;91,810;16.2%;94,955;6897;7%;1511;1.30%
2021;13;110,097;39;51%;49%;86,345;15.7%;89,422;6946;8%;1572;1.43%
2021;14;118,272;39;51%;49%;94,299;14.1%;95,757;7613;8%;1569;1.33%
2021;15;142,054;38;51%;49%;111,809;16.1%;115,269;7838;7%;1612;1.13%
2021;16;144,752;37;52%;48%;113,718;17.3%;117,782;8007;7%;1602;1.11%
2021;17;124,785;37;52%;48%;99,039;17.5%;101,202;6766;7%;1287;1.03%
2021;18;100,980;37;51%;49%;81,477;17.1%;82,857;5524;7%;997;0.99%
2021;19;70,801;37;51%;49%;57,049;17.5%;58,107;4066;7%;658;0.93%
2021;20;52,695;36;51%;49%;42,494;18.0%;43,530;2790;6%;438;0.83%
2021;21;29,877;35;52%;48%;24,275;18.7%;24,895;1719;7%;257;0.86%
2021;22;20,679;34;51%;49%;16,643;20.0%;17,212;1143;7%;140;0.68%
2021;23;14,032;33;51%;49%;11,344;22.2%;11,918;812;7%;66;0.47%
2021;24;7,272;32;52%;48%;5,847;22.6%;6,205;524;8%;46;0.63%
2021;25;4,822;32;54%;46%;3,939;21.4%;4,103;361;9%;30;0.62%
2021;26;4,357;32;53%;47%;3,662;17.2%;3,746;317;8%;23;0.53%
2021;27;5,575;32;53%;47%;4,778;13.2%;4,721;362;8%;24;0.43%
2021;28;9,099;30;54%;46%;7,961;12.5%;7,659;412;5%;29;0.32%
2021;29;12,626;30;52%;48%;11,116;12.1%;10,389;587;6%;39;0.31%
2021;30;15,499;31;52%;48%;13,639;12.2%;12,624;783;6%;67;0.43%
