Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und nach Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 52;;;;;;;;;;;;;
KW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
10;894;42;54%;46%;832;7.7%;800;162;20%;12;1.34%
11;6,433;45;56%;44%;5,779;5.3%;5,611;519;9%;85;1.32%
12;22,431;45;55%;45%;20,210;3.9%;19,343;2,204;11%;478;2.13%
13;34,028;48;49%;51%;30,858;3.2%;29,460;5,110;17%;1,457;4.28%
14;36,094;51;45%;55%;31,983;5.3%;31,484;6,064;19%;2,253;6.24%
15;27,188;52;44%;56%;23,575;8.3%;24,049;4,710;20%;1,870;6.88%
16;17,363;51;45%;55%;14,861;11.3%;15,512;3,357;22%;1,212;6.98%
17;12,381;50;45%;55%;10,280;13.9%;10,949;2,225;20%;718;5.80%
18;7,442;48;48%;52%;6,243;17.7%;6,594;1,358;21%;380;5.11%
19;6,229;47;48%;52%;5,232;19.7%;5,614;1,070;19%;253;4.06%
20;4,735;45;49%;51%;3,936;23.3%;4,206;733;17%;162;3.42%
21;3,617;43;50%;50%;2,821;26.3%;3,110;508;16%;109;3.01%
22;3,211;42;51%;49%;2,542;23.3%;2,767;416;15%;66;2.06%
23;2,360;39;51%;49%;1,839;23.2%;2,082;310;15%;45;1.91%
24;2,345;37;54%;46%;1,736;24.5%;2,085;284;14%;32;1.36%
25;4,095;36;59%;41%;2,937;25.1%;3,740;317;8%;38;0.93%
26;3,207;37;55%;45%;2,318;23.3%;2,854;293;10%;23;0.72%
27;2,694;36;52%;48%;2,062;26.9%;2,468;258;10%;26;0.97%
28;2,425;36;56%;44%;1,923;24.0%;2,190;252;12%;25;1.03%
29;3,024;36;52%;48%;2,360;22.9%;2,639;317;12%;30;0.99%
30;3,938;36;52%;48%;3,176;27.0%;3,457;332;10%;33;0.84%
31;4,824;36;50%;50%;3,688;24.4%;4,129;383;9%;32;0.66%
32;6,063;34;54%;46%;4,531;29.9%;5,264;398;8%;30;0.49%
33;7,956;32;53%;47%;5,813;33.2%;6,966;428;6%;30;0.38%
34;9,587;32;55%;45%;7,161;34.5%;8,232;429;5%;30;0.31%
35;8,819;32;53%;47%;6,828;30.7%;7,337;364;5%;20;0.23%
36;8,616;33;54%;46%;6,574;27.0%;6,981;392;6%;36;0.42%
37;9,766;35;52%;48%;7,487;20.5%;7,877;458;6%;62;0.63%
38;12,278;36;51%;49%;9,555;18.7%;9,876;656;7%;78;0.64%
39;13,058;37;52%;48%;10,182;18.5%;10,656;750;7%;106;0.81%
40;15,914;38;52%;48%;12,235;17.5%;13,172;854;6%;119;0.75%
41;26,158;39;51%;49%;19,292;16.5%;20,930;1522;7%;228;0.87%
42;42,068;39;51%;49%;29,335;15.8%;32,432;2223;7%;436;1.04%
43;74,826;40;50%;50%;47,816;15.4%;54,399;3832;7%;917;1.23%
44;111,161;41;50%;50%;67,643;15.5%;77,867;5444;7%;1455;1.31%
45;125,775;41;49%;51%;73,811;14.9%;84,191;6121;7%;1659;1.32%
46;127,842;42;48%;52%;74,502;14.7%;85,313;6648;8%;2164;1.69%
47;128,532;43;47%;53%;75,458;14.7%;84,886;7088;8%;2620;2.04%
48;123,357;44;47%;53%;70,830;15.4%;80,434;7181;9%;2728;2.21%
49;128,304;45;46%;54%;73,303;14.4%;82,678;7620;9%;2956;2.30%
50;155,956;46;45%;55%;86,334;14.9%;97,363;8883;9%;3064;1.96%
51;173,481;46;45%;55%;89,081;14.8%;101,764;8899;9%;2118;1.22%
52;135,974;48;45%;55%;56,966;16.2%;71,416;5983;8%;732;0.54%
