Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020,  KW 01 – 52/2021 und KW 01 - 11/2022;;;;;;;
;;;;;;;
Stand: 23.03.2022 08:58:16;;;;;;;
;;;;;;;
;;;;;;;
;;Fälle 0 - 4-Jährige;Fälle 5 - 14-Jährige;Fälle 15 - 34-Jährige;Fälle 35 - 59-Jährige;Fälle 60 - 79-Jährige;Fälle 80+ -Jährige
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+
2020;10;2;3;23;84;37;11
2020;11;2;2;54;237;152;77
2020;12;14;6;152;724;861;472
2020;13;33;16;260;1359;2219;1258
2020;14;27;17;305;1348;2484;1924
2020;15;22;8;226;983;1761;1731
2020;16;9;12;192;636;1280;1251
2020;17;20;15;183;418;768;832
2020;18;19;8;107;287;513;429
2020;19;10;7;91;241;383;350
2020;20;7;18;74;180;231;248
2020;21;4;2;50;120;170;166
2020;22;4;;38;124;138;117
2020;23;3;5;40;94;90;75
2020;24;11;5;48;83;70;73
2020;25;5;3;52;121;81;62
2020;26;3;7;46;103;79;57
2020;27;3;4;54;93;57;52
2020;28;7;6;36;97;79;32
2020;29;9;5;61;106;92;49
2020;30;10;8;54;112;105;46
2020;31;2;5;50;147;106;76
2020;32;4;3;70;148;114;66
2020;33;11;13;75;151;116;78
2020;34;9;11;95;171;107;45
2020;35;6;8;67;151;101;40
2020;36;4;7;76;147;122;51
2020;37;12;12;50;162;141;98
2020;38;8;11;81;238;211;136
2020;39;9;7;111;242;259;154
2020;40;15;10;118;283;288;176
2020;41;21;17;205;497;514;361
2020;42;24;26;275;684;788;558
2020;43;50;30;433;1074;1433;1143
2020;44;63;52;556;1519;2111;1696
2020;45;65;59;603;1706;2416;2068
2020;46;66;70;583;1744;2628;2519
2020;47;54;60;610;1698;2901;2847
2020;48;60;67;573;1723;2876;3096
2020;49;58;62;610;1689;3202;3628
2020;50;69;67;680;1985;3975;4560
2020;51;77;84;721;2205;4427;5135
2020;52;52;50;585;1869;3935;4609
2020;53;73;51;615;1929;3876;4498
2021;01;68;34;595;1846;4008;4704
2021;02;60;47;533;1614;3458;4266
2021;03;41;35;413;1509;3194;3732
2021;04;34;34;408;1260;2814;3019
2021;05;45;36;358;1153;2379;2540
2021;06;42;25;308;987;1972;1906
2021;07;37;23;311;1064;2012;1707
2021;08;48;30;327;1121;1823;1505
2021;09;53;28;354;1067;1674;1270
2021;10;52;37;411;1375;1747;1297
2021;11;85;71;492;1647;2182;1319
2021;12;94;91;626;1997;2552;1541
2021;13;95;87;627;2072;2649;1428
2021;14;112;71;756;2382;2854;1439
2021;15;93;85;768;2394;3048;1458
2021;16;96;89;806;2571;3030;1427
2021;17;79;103;659;2183;2567;1182
2021;18;81;69;567;1749;2095;966
2021;19;67;44;459;1274;1509;713
2021;20;49;42;360;865;972;507
2021;21;28;25;213;570;580;303
2021;22;13;23;156;397;349;203
2021;23;19;22;125;277;241;128
2021;24;16;7;86;203;135;79
2021;25;12;7;88;117;88;50
2021;26;6;10;65;111;89;37
2021;27;6;6;76;130;91;54
2021;28;11;3;101;159;91;48
2021;29;16;7;164;209;125;65
2021;30;20;21;174;297;176;98
2021;31;22;22;257;386;195;128
2021;32;57;39;379;678;341;174
2021;33;75;60;535;985;454;245
2021;34;86;76;651;1348;650;377
2021;35;78;71;623;1294;724;475
2021;36;96;84;581;1179;793;553
2021;37;79;56;468;984;659;530
2021;38;71;55;392;822;663;468
2021;39;67;54;383;799;653;585
2021;40;50;47;304;781;777;653
2021;41;47;54;381;859;937;777
2021;42;83;58;507;1201;1506;1371
2021;43;87;73;543;1541;1864;1788
2021;44;95;108;574;1687;2251;2271
2021;45;106;152;701;2106;3003;2657
2021;46;142;219;776;2488;3512;3153
2021;47;148;187;782;2653;3857;3250
2021;48;158;214;793;2636;3707;2960
2021;49;143;183;779;2351;3435;2723
2021;50;130;153;673;1843;2813;2221
2021;51;103;112;493;1355;1866;1469
2021;52;109;67;624;1365;1728;1323
2022;01;167;115;890;1270;1517;1192
2022;02;236;195;908;1337;1245;1066
2022;03;319;312;1234;1658;1590;1461
2022;04;370;394;1337;1878;1963;1916
2022;05;385;412;1427;2056;2583;2616
2022;06;381;366;1311;2053;2644;2985
2022;07;399;312;1157;1903;2758;3180
2022;08;356;249;1051;1725;2700;3064
2022;09;345;229;1020;1553;2505;2848
2022;10;395;247;1089;1583;2623;3229
2022;11;350;241;845;1335;2358;2747
