Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.8;5.9;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.0;8.7;--;9.6;2.0;--
2021;32;58.8;7.0;--;68.0;12.8;--;15.4;3.4;--
2021;33;109.5;11.9;--;101.1;17.3;--;20.6;4.2;--
2021;34;139.8;10.2;--;131.3;21.7;--;31.0;6.2;--
2021;35;167.3;11.0;--;135.9;24.0;--;37.6;8.2;--
2021;36;157.8;11.0;--;130.5;25.1;--;42.7;9.4;--
2021;37;150.4;11.0;--;110.7;22.7;--;40.7;9.6;--
2021;38;131.4;8.6;--;94.0;21.5;--;36.3;9.5;--
2021;39;145.7;11.0;--;98.4;26.7;--;38.8;12.9;--
2021;40;146.9;9.2;--;105.3;29.5;--;48.2;15.0;--
2021;41;164.9;12.7;--;119.5;35.7;--;54.3;17.6;--
2021;42;226.5;17.3;--;175.5;56.4;26.3;85.9;30.9;11.4
2021;43;314.5;27.0;--;225.1;76.1;41.7;111.0;46.2;13.5
2021;44;335.0;28.9;--;264.0;93.2;40.6;142.5;58.3;16.2
2021;45;481.7;50.1;--;321.5;117.0;54.1;178.8;74.6;17.7
2021;46;513.0;53.2;--;340.8;136.2;57.5;185.4;84.0;21.6
2021;47;516.4;57.3;--;359.9;136.1;58.6;207.3;84.2;24.1
2021;48;486.0;55.1;19.9;332.0;122.9;46.5;202.5;71.8;19.6
2021;49;434.8;52.5;14.2;289.2;106.2;36.7;187.5;62.2;15.4
2021;50;359.1;47.6;10.9;238.9;90.9;28.0;152.8;47.5;10.7
2021;51;225.2;44.0;9.6;160.4;75.0;27.0;107.8;34.5;9.2
2021;52;201.3;67.5;23.3;164.7;106.9;44.8;104.5;40.4;15.3
2022;1;258.0;139.3;67.5;178.9;169.9;86.1;98.7;50.5;21.3
2022;2;309.5;184.5;88.7;164.1;156.9;83.0;69.5;40.3;19.9
