Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 41/2021;;;;;;;;
Stand: 27.10.2021 09:18:50;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;Fälle A00..04;Fälle A05..14;Fälle A15..34;Fälle A35..59;Fälle A60..79;Fälle A80+;
2020;10;2;3;23;84;37;11;2020-KW10
2020;11;2;2;54;238;152;77;2020-KW11
2020;12;14;6;152;726;861;472;2020-KW12
2020;13;32;16;259;1358;2218;1259;2020-KW13
2020;14;27;17;305;1346;2486;1917;2020-KW14
2020;15;22;8;225;983;1760;1733;2020-KW15
2020;16;9;12;192;635;1282;1255;2020-KW16
2020;17;20;15;183;416;770;834;2020-KW17
2020;18;19;8;107;286;513;428;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;75;180;232;249;2020-KW20
2020;21;4;2;51;120;169;167;2020-KW21
2020;22;4;;38;124;139;117;2020-KW22
2020;23;3;5;40;94;90;75;2020-KW23
2020;24;11;5;48;83;70;73;2020-KW24
2020;25;5;3;52;121;81;62;2020-KW25
2020;26;3;7;46;103;79;57;2020-KW26
2020;27;3;4;55;93;56;52;2020-KW27
2020;28;7;6;36;97;80;32;2020-KW28
2020;29;9;5;61;106;91;48;2020-KW29
2020;30;10;8;54;112;105;46;2020-KW30
2020;31;2;5;50;147;106;76;2020-KW31
2020;32;4;3;70;148;114;66;2020-KW32
2020;33;11;13;75;152;115;78;2020-KW33
2020;34;9;11;95;171;107;45;2020-KW34
2020;35;6;8;68;151;101;40;2020-KW35
2020;36;4;7;76;147;122;51;2020-KW36
2020;37;12;12;50;162;142;98;2020-KW37
2020;38;8;10;81;238;210;137;2020-KW38
2020;39;9;7;111;242;258;153;2020-KW39
2020;40;15;10;118;283;290;176;2020-KW40
2020;41;21;16;211;498;512;362;2020-KW41
2020;42;24;26;276;681;789;562;2020-KW42
2020;43;50;31;440;1074;1438;1150;2020-KW43
2020;44;63;52;554;1523;2113;1701;2020-KW44
2020;45;65;59;605;1701;2413;2073;2020-KW45
2020;46;66;70;583;1741;2624;2522;2020-KW46
2020;47;54;60;608;1695;2895;2845;2020-KW47
2020;48;63;68;572;1724;2878;3096;2020-KW48
2020;49;60;62;610;1688;3202;3627;2020-KW49
2020;50;70;67;677;1984;3977;4574;2020-KW50
2020;51;77;85;713;2202;4431;5134;2020-KW51
2020;52;52;49;585;1868;3935;4617;2020-KW52
2020;53;73;51;616;1926;3884;4495;2020-KW53
2021;01;68;34;597;1842;4004;4700;2021-KW01
2021;02;61;47;535;1610;3449;4261;2021-KW02
2021;03;40;35;414;1506;3191;3736;2021-KW03
2021;04;34;35;408;1254;2819;3021;2021-KW04
2021;05;45;36;359;1150;2362;2536;2021-KW05
2021;06;42;24;305;982;1968;1905;2021-KW06
2021;07;37;23;312;1064;2017;1701;2021-KW07
2021;08;47;30;325;1115;1825;1506;2021-KW08
2021;09;52;29;353;1065;1674;1268;2021-KW09
2021;10;53;39;414;1371;1748;1294;2021-KW10
2021;11;84;70;494;1649;2179;1319;2021-KW11
2021;12;94;91;629;1998;2539;1541;2021-KW12
2021;13;95;87;628;2056;2649;1427;2021-KW13
2021;14;112;71;749;2378;2848;1442;2021-KW14
2021;15;94;84;769;2394;3051;1459;2021-KW15
2021;16;96;89;801;2574;3027;1426;2021-KW16
2021;17;78;102;655;2188;2563;1180;2021-KW17
2021;18;82;68;566;1749;2089;963;2021-KW18
2021;19;67;44;460;1272;1502;712;2021-KW19
2021;20;49;42;357;865;972;505;2021-KW20
2021;21;28;27;211;569;579;303;2021-KW21
2021;22;13;22;156;398;349;204;2021-KW22
2021;23;19;22;125;278;240;127;2021-KW23
2021;24;16;7;85;202;135;79;2021-KW24
2021;25;12;7;88;115;88;50;2021-KW25
2021;26;6;10;65;110;89;37;2021-KW26
2021;27;6;6;76;129;91;54;2021-KW27
2021;28;11;3;101;158;91;48;2021-KW28
2021;29;15;7;163;209;125;65;2021-KW29
2021;30;20;21;172;294;176;98;2021-KW30
2021;31;22;21;256;383;195;128;2021-KW31
2021;32;56;37;376;664;338;174;2021-KW32
2021;33;73;63;528;975;447;242;2021-KW33
2021;34;86;73;650;1336;641;371;2021-KW34
2021;35;77;72;616;1274;713;463;2021-KW35
2021;36;96;81;565;1156;776;540;2021-KW36
2021;37;77;52;453;950;635;517;2021-KW37
2021;38;71;57;384;802;646;460;2021-KW38
2021;39;64;53;374;773;631;559;2021-KW39
2021;40;46;45;284;722;728;609;2021-KW40
2021;41;43;53;348;741;824;687;2021-KW41
2021;42;68;45;372;720;990;945;2021-KW42
2021;43;19;9;79;159;188;207;2021-KW43
