Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;15.6;4.5;--;3.6;0.8;--
2021;29;--;--;23.8;5.9;--;5.1;0.9;--
2021;30;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;42.0;8.7;--;9.6;2.0;--
2021;32;58.8;7.0;68.0;12.8;--;15.4;3.4;--
2021;33;109.5;11.9;101.0;17.3;--;20.6;4.2;--
2021;34;139.8;10.2;131.2;21.7;--;31.0;6.2;--
2021;35;167.1;11.0;135.8;24.0;--;37.5;8.2;--
2021;36;157.8;11.0;130.4;25.1;--;42.7;9.4;--
2021;37;150.3;11.0;110.6;22.7;--;40.6;9.6;--
2021;38;131.3;8.6;93.9;21.5;--;36.3;9.5;--
2021;39;145.7;11.0;98.3;26.7;--;38.8;12.8;--
2021;40;146.7;9.2;105.1;29.5;--;48.1;15.0;--
2021;41;164.6;12.7;119.4;35.6;--;54.2;17.6;--
2021;42;226.0;17.4;175.1;56.2;26.3;85.8;30.8;11.4
2021;43;312.3;26.9;224.2;75.8;41.5;110.4;46.0;13.5
2021;44;334.2;28.8;263.4;93.0;39.9;142.7;58.2;16.2
2021;45;478.4;49.8;320.0;116.6;53.4;178.2;74.2;17.5
2021;46;502.1;52.7;333.7;134.3;56.7;180.9;82.5;21.4
2021;47;507.5;56.4;353.7;134.5;57.4;203.9;83.1;23.9
2021;48;480.5;54.9;327.1;121.9;46.1;199.8;71.2;19.6
2021;49;431.4;52.0;286.8;105.7;36.5;185.3;61.7;15.3
2021;50;355.6;47.3;236.5;89.8;27.8;151.5;47.0;10.5
2021;51;223.2;43.5;158.3;74.4;26.9;106.3;34.1;9.1
2021;52;198.3;66.7;161.8;105.6;44.4;102.2;39.9;15.3
2022;1;248.3;132.2;171.8;161.3;82.6;93.7;47.8;20.5
