Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche, Altersgruppe und Angabe, dass eine Hospitalisierung vorlag für die Meldewochen KW 10 – 53/2020 und KW 01 - 25/2021;;;;;;;;
;;;;;;;;
;;;;;;;;
Stand: 29.06.2021 06:00:31;;;;;;;;
;;;;;;;;
;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;10;2;3;23;89;37;11;2020-KW10
2020;11;2;2;55;238;155;78;2020-KW11
2020;12;14;5;154;726;860;471;2020-KW12
2020;13;32;16;261;1363;2220;1259;2020-KW13
2020;14;27;17;312;1346;2486;1918;2020-KW14
2020;15;23;8;227;983;1765;1734;2020-KW15
2020;16;9;12;192;634;1278;1258;2020-KW16
2020;17;20;15;185;419;771;836;2020-KW17
2020;18;19;8;109;288;513;430;2020-KW18
2020;19;10;7;92;239;383;350;2020-KW19
2020;20;7;18;77;181;232;250;2020-KW20
2020;21;4;2;51;121;170;166;2020-KW21
2020;22;4;;38;123;139;117;2020-KW22
2020;23;3;5;39;94;91;75;2020-KW23
2020;24;10;5;48;83;70;72;2020-KW24
2020;25;5;3;50;118;81;62;2020-KW25
2020;26;3;7;46;105;79;57;2020-KW26
2020;27;3;4;55;92;55;53;2020-KW27
2020;28;7;6;36;98;80;32;2020-KW28
2020;29;9;5;61;107;91;48;2020-KW29
2020;30;10;8;54;112;105;45;2020-KW30
2020;31;2;5;50;148;108;77;2020-KW31
2020;32;4;3;68;148;113;64;2020-KW32
2020;33;11;13;76;151;114;76;2020-KW33
2020;34;9;11;95;172;105;45;2020-KW34
2020;35;6;8;69;149;100;39;2020-KW35
2020;36;4;8;77;144;121;50;2020-KW36
2020;37;12;12;54;162;140;96;2020-KW37
2020;38;8;10;80;237;210;139;2020-KW38
2020;39;9;7;110;241;256;153;2020-KW39
2020;40;15;9;117;280;290;174;2020-KW40
2020;41;21;17;212;495;507;356;2020-KW41
2020;42;24;26;271;678;785;561;2020-KW42
2020;43;51;32;443;1065;1420;1131;2020-KW43
2020;44;64;54;558;1513;2104;1692;2020-KW44
2020;45;66;61;609;1699;2399;2066;2020-KW45
2020;46;65;72;589;1734;2607;2522;2020-KW46
2020;47;53;58;614;1681;2871;2830;2020-KW47
2020;48;64;68;570;1713;2869;3084;2020-KW48
2020;49;59;59;604;1674;3180;3604;2020-KW49
2020;50;70;69;681;1982;3944;4550;2020-KW50
2020;51;79;90;721;2210;4408;5102;2020-KW51
2020;52;54;51;602;1865;3914;4586;2020-KW52
2020;53;73;51;615;1914;3830;4449;2020-KW53
2021;01;66;35;593;1828;3968;4668;2021-KW01
2021;02;61;51;544;1606;3417;4235;2021-KW02
2021;03;40;36;405;1468;3132;3680;2021-KW03
2021;04;35;32;403;1206;2752;2967;2021-KW04
2021;05;46;38;357;1139;2352;2526;2021-KW05
2021;06;42;23;300;976;1948;1896;2021-KW06
2021;07;36;23;308;1042;1993;1677;2021-KW07
2021;08;47;31;324;1088;1798;1503;2021-KW08
2021;09;50;31;331;1038;1637;1247;2021-KW09
2021;10;53;38;396;1335;1711;1265;2021-KW10
2021;11;82;71;473;1578;2118;1291;2021-KW11
2021;12;87;87;611;1939;2474;1501;2021-KW12
2021;13;92;88;615;1983;2592;1401;2021-KW13
2021;14;109;71;732;2323;2779;1419;2021-KW14
2021;15;91;84;756;2276;2939;1404;2021-KW15
2021;16;88;85;748;2383;2846;1346;2021-KW16
2021;17;71;92;612;2008;2398;1111;2021-KW17
2021;18;79;69;534;1602;1944;911;2021-KW18
2021;19;65;41;422;1161;1394;665;2021-KW19
2021;20;47;38;331;798;920;479;2021-KW20
2021;21;27;24;193;515;555;291;2021-KW21
2021;22;13;21;147;365;329;185;2021-KW22
2021;23;15;21;119;249;220;122;2021-KW23
2021;24;15;6;69;169;112;78;2021-KW24
2021;25;9;8;66;80;63;41;2021-KW25
